Agent,NAMELSAD,"snap_zscore_type
",new_agent,snap_territory_type
Arlington,Fairfax City,aggregate,0,base
Arlington,Fairfax County,aggregate,0,base
Arlington,Falls Church City,aggregate,0,base
Arlington,Fredericksburg City,aggregate,0,base
Arlington,Loudoun County,aggregate,0,base
Arlington,Manassas City,aggregate,0,base
Arlington,Manassas Park City,aggregate,0,base
Arlington,Prince William County,aggregate,0,base
Arlington,Stafford County,aggregate,0,base
Franklin,Franklin County,aggregate,0,base
Franklin,Henry County,aggregate,0,base
Franklin,Martinsville City,aggregate,0,base
Franklin,Patrick County,aggregate,0,base
Lynchburg City,Amelia County,aggregate,0,base
Lynchburg City,Amherst County,aggregate,0,base
Lynchburg City,Appomattox County,aggregate,0,base
Lynchburg City,Bedford County,aggregate,0,base
Lynchburg City,Buckingham County,aggregate,0,base
Lynchburg City,Campbell County,aggregate,0,base
Lynchburg City,Charlotte County,aggregate,0,base
Lynchburg City,Cumberland County,aggregate,0,base
Lynchburg City,Lunenburg County,aggregate,0,base
Lynchburg City,Lynchburg City,aggregate,0,base
Lynchburg City,Nottoway County,aggregate,0,base
Lynchburg City,Prince Edward County,aggregate,0,base
Newport News City,Charles City County,aggregate,0,base
Newport News City,Dinwiddie County,aggregate,0,base
Newport News City,Emporia City,aggregate,0,base
Newport News City,Franklin City,aggregate,0,base
Newport News City,Greensville County,aggregate,0,base
Newport News City,Hampton City,aggregate,0,base
Newport News City,Hopewell City,aggregate,0,base
Newport News City,Isle Of Wight County,aggregate,0,base
Newport News City,James City County,aggregate,0,base
Newport News City,New Kent County,aggregate,0,base
Newport News City,Newport News City,aggregate,0,base
Newport News City,Norfolk City,aggregate,0,base
Newport News City,Petersburg City,aggregate,0,base
Newport News City,Poquoson City,aggregate,0,base
Newport News City,Portsmouth City,aggregate,0,base
Newport News City,Prince George County,aggregate,0,base
Newport News City,Southampton County,aggregate,0,base
Newport News City,Suffolk City,aggregate,0,base
Newport News City,Surry County,aggregate,0,base
Newport News City,Sussex County,aggregate,0,base
Newport News City,Williamsburg City,aggregate,0,base
Newport News City,York County,aggregate,0,base
Northeast District Office,Alexandria City,aggregate,0,base
Northeast District Office,Arlington County,aggregate,0,base
Northeast District Office,Caroline County,aggregate,0,base
Northeast District Office,Chesterfield County,aggregate,0,base
Northeast District Office,Colonial Heights City,aggregate,0,base
Northeast District Office,Essex County,aggregate,0,base
Northeast District Office,Gloucester County,aggregate,0,base
Northeast District Office,Goochland County,aggregate,0,base
Northeast District Office,Hanover County,aggregate,0,base
Northeast District Office,Henrico County,aggregate,0,base
Northeast District Office,King George County,aggregate,0,base
Northeast District Office,King William County,aggregate,0,base
Northeast District Office,King And Queen County,aggregate,0,base
Northeast District Office,Lancaster County,aggregate,0,base
Northeast District Office,Mathews County,aggregate,0,base
Northeast District Office,Middlesex County,aggregate,0,base
Northeast District Office,Northumberland County,aggregate,0,base
Northeast District Office,Powhatan County,aggregate,0,base
Northeast District Office,Richmond City,aggregate,0,base
Northeast District Office,Richmond County,aggregate,0,base
