"","Accomack County","Alexandria City","Alleghany County","Appomattox County","Augusta County","Bath County","Bland County","Botetourt County","Brunswick County","Buchanan County","Buckingham County","Campbell County","Caroline County","Carroll County","Charles City County","Charlotte County","Chesterfield County","Clarke County","Craig County","Culpeper County","Cumberland County","Danville City","Dickenson County","Dinwiddie County","Essex County","Fairfax City","Fauquier County","Fluvanna County","Franklin City","Frederick County","Giles County","Goochland County","Grayson County","Greene County","Halifax County","Hampton City","Hanover County","Henry County","Highland County","Isle of Wight County","James City County","King and Queen County","King William County","Lunenburg County","Madison County","Mathews County","Middlesex County","Montgomery County","Nelson County","New Kent County","Norfolk City","Northampton County","Northumberland County","Nottoway County","Page County","Powhatan County","Prince Edward County","Prince George County","Prince William County","Rappahannock County","Richmond County","Russell County","Scott County","Shenandoah County","Smyth County","Southampton County","Stafford County","Suffolk City","Surry County","Sussex County","Tazewell County","Westmoreland County","Wise County","Wythe County","York County"
"Accomack County",10.6,204.55,317.016666666667,269.05,266.7,324.9,402.533333333333,323.716666666667,193.533333333333,509.3,247.616666666667,289.916666666667,203.85,399.15,159.566666666667,261.516666666667,183.433333333333,263.883333333333,347.516666666667,257.033333333333,227.15,297.05,519.233333333333,193.483333333333,194.766666666667,226.4,253.883333333333,224.683333333333,354.35,277.25,385.966666666667,202.016666666667,420.283333333333,256.8,272.533333333333,110.666666666667,181.616666666667,334.15,322.366666666667,134.283333333333,138.783333333333,170.983333333333,170.983333333333,223.716666666667,260.333333333333,164.816666666667,165.95,354.233333333333,261.75,151.583333333333,100.783333333333,41.65,206.916666666667,220.083333333333,300.85,206.966666666667,242.2,175.666666666667,235.266666666667,278,203.666666666667,469.416666666667,491.7,286.733333333333,416.183333333333,150.533333333333,223.816666666667,117.133333333333,148.95,153.166666666667,443.3,213.766666666667,503.316666666667,392.783333333333,122.25
"Albemarle County",233.233333333333,140.466666666667,97,84.5,46.7,104.9,182.533333333333,103.716666666667,140.95,289.283333333333,62.1666666666667,80.55,101.166666666667,179.133333333333,109.866666666667,112.5,84.8666666666667,134.833333333333,127.5,66.0333333333333,77.0833333333333,141.7,299.233333333333,111.4,119.883333333333,122.666666666667,92.1333333333333,48.85,145.466666666667,126.766666666667,165.966666666667,51.35,210.583333333333,42.3666666666667,132.016666666667,138.35,78.9333333333333,157.566666666667,102.35,153.65,107.966666666667,103.433333333333,103.433333333333,127.25,49.2833333333333,146.8,125.166666666667,134.233333333333,41.05,98.6666666666667,159.916666666667,200,150.75,109.766666666667,86.4166666666667,73.15,85.15,107.05,114.533333333333,81.2833333333333,128.783333333333,249.416666666667,271.7,100.133333333333,196.166666666667,139.466666666667,107.6,167.05,135,123.216666666667,223.3,138.883333333333,283.316666666667,172.783333333333,133.483333333333
"Alexandria city",200.683333333333,11.6166666666667,203.866666666667,190.75,143.65,211.25,289.4,210.583333333333,163.016666666667,396.15,165.466666666667,201.333333333333,78.3,286,127.216666666667,185.4,114,76.1166666666667,234.366666666667,88,144.983333333333,248.383333333333,406.1,133.466666666667,104.15,31.95,59.7,136.05,252.066666666667,89.5,272.833333333333,116.516666666667,317.45,115.766666666667,211.266666666667,155.716666666667,83.9166666666667,275.95,200.233333333333,172.65,125.316666666667,108.3,108.3,172.733333333333,100.183333333333,164.783333333333,136.95,241.1,161.833333333333,116.016666666667,177.266666666667,217.35,134.133333333333,158.816666666667,114.783333333333,126.466666666667,163.9,124.566666666667,40.8166666666667,83.8166666666667,114.433333333333,356.283333333333,378.566666666667,94.3833333333333,303.033333333333,161.516666666667,44.2333333333333,186.05,152.35,142.216666666667,330.166666666667,103.7,390.183333333333,279.65,150.833333333333
"Alleghany County",329.366666666667,223.633333333333,23.3333333333333,129.8,88.1,47.5,131.566666666667,58.0666666666667,224.133333333333,209.966666666667,135.1,124.05,197.3,147.683333333333,206,158.466666666667,181,175.533333333333,61.8666666666667,162.25,154.9,175.7,245.233333333333,207.533333333333,216.016666666667,202.883333333333,188.516666666667,144.983333333333,113.75,168.183333333333,104.266666666667,147.483333333333,179.133333333333,139.95,175.516666666667,234.5,175.083333333333,137.633333333333,82.85,249.783333333333,204.1,199.583333333333,199.566666666667,197.8,147,242.95,221.3,102.766666666667,112.666666666667,194.8,256.05,296.133333333333,246.883333333333,180.333333333333,139.65,169.283333333333,155.7,203.183333333333,194.316666666667,167.216666666667,224.916666666667,185.65,238.816666666667,141.55,164.716666666667,235.6,203.733333333333,263.183333333333,231.133333333333,219.35,143.983333333333,235.016666666667,233.85,141.316666666667,229.616666666667
"Amelia County",212.866666666667,139.5,162.6,57.1333333333333,119.416666666667,177.616666666667,212.1,142,65.35,318.866666666667,54.5833333333333,78,86.6666666666667,208.716666666667,80.4166666666667,51.7833333333333,42.4333333333333,183.483333333333,165.8,113.283333333333,34.1,114.766666666667,328.8,48.7833333333333,105.75,145.683333333333,140.783333333333,62.7166666666667,148.3,190.466666666667,195.533333333333,47.3333333333333,240.15,109.516666666667,77.6666666666667,117.983333333333,64.4333333333333,151.866666666667,175.083333333333,106.616666666667,87.6,89.3166666666667,89.3,44.1666666666667,113.05,126.433333333333,104.783333333333,163.8,93.2333333333333,78.2833333333333,137.066666666667,179.616666666667,136.616666666667,27.25,153.566666666667,26.9,30.2833333333333,60.0166666666667,145.25,145.05,114.65,278.983333333333,301.266666666667,172.866666666667,225.733333333333,92.4166666666667,106.633333333333,120.016666666667,96.0833333333333,76.1833333333333,252.866666666667,124.75,312.883333333333,202.35,113.116666666667
"Amherst County",289.616666666667,196.85,79.0333333333333,54.85,81.4166666666667,100.85,159.533333333333,80.7166666666667,149.183333333333,266.3,60.1666666666667,49.1,157.55,156.15,166.25,83.5333333333333,133.483333333333,168.866666666667,104.516666666667,123.366666666667,79.9666666666667,110.266666666667,276.233333333333,138.833333333333,176.266666666667,180,149.466666666667,92.5,112.916666666667,161.5,142.966666666667,107.733333333333,187.583333333333,99.7,100.583333333333,194.733333333333,135.316666666667,126.133333333333,133.483333333333,204.5,164.35,159.816666666667,159.816666666667,122.866666666667,106.616666666667,203.183333333333,181.55,111.233333333333,37.7166666666667,155.05,216.3,256.366666666667,207.116666666667,105.383333333333,132.95,102.2,80.7666666666667,157.9,171.85,138.616666666667,185.166666666667,226.416666666667,248.7,134.866666666667,173.166666666667,190.316666666667,163.983333333333,217.9,187.116666666667,174.066666666667,200.3,195.266666666667,260.316666666667,149.783333333333,189.866666666667
"Appomattox County",261.216666666667,187.15,108.866666666667,10,96.0166666666667,130.7,158.366666666667,88.2833333333333,98.4,265.133333333333,25.15,24.2666666666667,134.316666666667,154.983333333333,128.766666666667,32.7333333333333,90.7666666666667,183.466666666667,112.066666666667,122.733333333333,44.95,89.4333333333333,275.083333333333,88.0333333333333,153.033333333333,186.966666666667,156.433333333333,57.4666666666667,96.2,176.1,141.8,83.4,186.433333333333,107.85,64.55,166.333333333333,112.083333333333,105.3,151.683333333333,152.533333333333,135.933333333333,136.583333333333,136.583333333333,72.0666666666667,114.766666666667,174.783333333333,153.133333333333,110.066666666667,46.4666666666667,126.633333333333,182.983333333333,227.966666666667,183.883333333333,54.5833333333333,143.683333333333,67.1833333333333,29.9666666666667,105.916666666667,178.816666666667,146.766666666667,161.933333333333,225.266666666667,247.55,149.466666666667,172.016666666667,138.333333333333,154.283333333333,165.933333333333,141.616666666667,122.083333333333,199.15,172.033333333333,259.166666666667,148.633333333333,161.45
"Arlington County",198.816666666667,22.8333333333333,194.866666666667,193.533333333333,134.65,202.233333333333,280.383333333333,201.566666666667,165.8,387.15,168.25,197.8,81.0833333333333,277,130,188.183333333333,116.783333333333,66.4833333333333,225.366666666667,80.8166666666667,147.783333333333,251.166666666667,397.083333333333,136.25,106.933333333333,25.1,52.5166666666667,138.833333333333,243.066666666667,79.8666666666667,263.816666666667,119.3,308.433333333333,108.583333333333,214.05,158.5,86.7,266.933333333333,191.216666666667,175.433333333333,128.116666666667,111.083333333333,111.083333333333,175.516666666667,93,167.566666666667,139.733333333333,232.083333333333,158.3,118.8,180.066666666667,220.133333333333,138.833333333333,161.6,105.766666666667,129.25,166.683333333333,127.35,33.9666666666667,76.6333333333333,116.866666666667,347.283333333333,369.55,85.3666666666667,294.033333333333,164.316666666667,47.0333333333333,188.85,155.133333333333,145,321.15,111.116666666667,381.166666666667,270.633333333333,153.633333333333
"Augusta County",261.483333333333,153.533333333333,69.35,97.5333333333333,13.45,63.2,154.6,75.7833333333333,169.2,261.35,89.3166666666667,93.6,129.416666666667,151.2,138.1,126.583333333333,113.1,105.433333333333,99.5666666666667,94.35,105.316666666667,154.75,271.3,139.65,148.133333333333,132.766666666667,118.416666666667,77.0833333333333,117.266666666667,98.0666666666667,138.016666666667,79.6,182.65,69.85,145.066666666667,166.6,107.183333333333,141.15,59.7666666666667,181.9,136.216666666667,131.683333333333,131.683333333333,155.483333333333,79.1166666666667,175.05,153.4,106.283333333333,54.1,126.9,188.166666666667,228.233333333333,178.983333333333,138.016666666667,69.55,101.4,113.383333333333,135.3,124.216666666667,97.1166666666667,157.033333333333,221.483333333333,243.766666666667,71.4333333333333,168.233333333333,167.7,135.85,195.3,163.233333333333,151.466666666667,195.366666666667,167.133333333333,255.383333333333,144.85,161.733333333333
"Bath County",314.533333333333,208.133333333333,43.9333333333333,129.166666666667,68.05,17.5333333333333,160.6,67.6,222.25,247.533333333333,134.466666666667,123.416666666667,182.466666666667,157.2,191.15,157.833333333333,166.15,160.033333333333,91.7833333333333,147.4,154.266666666667,184.583333333333,277.3,192.7,201.166666666667,187.366666666667,173.016666666667,130.133333333333,123.266666666667,152.666666666667,139.633333333333,132.65,188.65,124.45,174.883333333333,219.65,160.233333333333,147.15,50.1666666666667,234.933333333333,189.266666666667,184.733333333333,184.733333333333,197.166666666667,132.15,228.1,206.45,112.3,107.133333333333,179.95,241.216666666667,281.283333333333,232.033333333333,179.7,124.15,154.45,155.066666666667,188.333333333333,178.816666666667,151.716666666667,210.066666666667,223.216666666667,249.766666666667,126.05,174.233333333333,220.75,188.883333333333,248.333333333333,216.283333333333,204.5,181.533333333333,220.166666666667,261.383333333333,150.85,214.783333333333
