Agent,Central,Northeast,Northwest,Southeast,Southwest
Albemarle County,0,0,1,0,0
Amelia County,1,0,0,0,0
Amherst County,1,0,0,0,0
Arlington County,0,1,0,0,0
Bedford County,1,0,0,0,0
Chesapeake City,0,0,0,1,0
Fairfax County,0,1,0,0,0
Floyd County,0,0,0,0,1
Franklin County,1,0,0,0,0
Gloucester County,0,1,0,0,0
Greensville County,0,0,0,1,0
Henrico County,0,1,0,0,0
King George County,0,1,0,0,0
Lancaster County,0,1,0,0,0
Lee County,0,0,0,0,1
Loudoun County,0,1,0,0,0
Louisa County,0,0,1,0,0
Lynchburg City County,1,0,0,0,0
Mecklenburg County,1,0,0,0,0
Newport News City,0,0,0,1,0
Newport News City North,0,0,0,1,0
Orange County,0,0,1,0,0
Patrick County,1,0,0,0,0
Petersburg City,0,0,0,1,0
Pittsylvania County,1,0,0,0,0
Pulaski County,0,0,0,0,1
Richmond City,0,1,0,0,0
Roanoke County,0,0,0,0,1
Rockbridge County,0,0,1,0,0
Rockingham County,0,0,1,0,0
Spotsylvania County,0,1,0,0,0
Virginia Beach City,0,0,0,1,0
Virginia Beach City North,0,0,0,1,0
Warren County,0,0,1,0,0
Washington County,0,0,0,0,1
Northeast District Office,0,1,0,0,0
