Category,Variable,Year,County,FIPS,Value,County2
healthcare_access_and_quality,chlamydia_rate,2016,Accomack,51001,746.1,Accomack County
healthcare_access_and_quality,chlamydia_rate,2016,Albemarle,51003,260.2,Albemarle County
healthcare_access_and_quality,chlamydia_rate,2016,Alleghany,51005,229.6,Alleghany County
healthcare_access_and_quality,chlamydia_rate,2016,Amelia,51007,255.8,Amelia County
healthcare_access_and_quality,chlamydia_rate,2016,Amherst,51009,350.9,Amherst County
healthcare_access_and_quality,chlamydia_rate,2016,Appomattox,51011,363.3,Appomattox County
healthcare_access_and_quality,chlamydia_rate,2016,Arlington,51013,404.1,Arlington County
healthcare_access_and_quality,chlamydia_rate,2016,Augusta,51015,179,Augusta County
healthcare_access_and_quality,chlamydia_rate,2016,Bath,51017,111.9,Bath County
healthcare_access_and_quality,chlamydia_rate,2016,Bedford,51019,175,Bedford County
healthcare_access_and_quality,chlamydia_rate,2016,Bland,51021,,Bland County
healthcare_access_and_quality,chlamydia_rate,2016,Botetourt,51023,176.9,Botetourt County
healthcare_access_and_quality,chlamydia_rate,2016,Brunswick,51025,712.7,Brunswick County
healthcare_access_and_quality,chlamydia_rate,2016,Buchanan,51027,65.9,Buchanan County
healthcare_access_and_quality,chlamydia_rate,2016,Buckingham,51029,293.6,Buckingham County
healthcare_access_and_quality,chlamydia_rate,2016,Campbell,51031,275.9,Campbell County
healthcare_access_and_quality,chlamydia_rate,2016,Caroline,51033,356.9,Caroline County
healthcare_access_and_quality,chlamydia_rate,2016,Carroll,51035,174.9,Carroll County
healthcare_access_and_quality,chlamydia_rate,2016,Charles City,51036,298.3,Charles City County
healthcare_access_and_quality,chlamydia_rate,2016,Charlotte,51037,303.3,Charlotte County
healthcare_access_and_quality,chlamydia_rate,2016,Chesterfield,51041,460.8,Chesterfield County
healthcare_access_and_quality,chlamydia_rate,2016,Clarke,51043,215.8,Clarke County
healthcare_access_and_quality,chlamydia_rate,2016,Craig,51045,96,Craig County
healthcare_access_and_quality,chlamydia_rate,2016,Culpeper,51047,216.5,Culpeper County
healthcare_access_and_quality,chlamydia_rate,2016,Cumberland,51049,473.3,Cumberland County
healthcare_access_and_quality,chlamydia_rate,2016,Dickenson,51051,125.7,Dickenson County
healthcare_access_and_quality,chlamydia_rate,2016,Dinwiddie,51053,606.8,Dinwiddie County
healthcare_access_and_quality,chlamydia_rate,2016,Essex,51057,476.2,Essex County
healthcare_access_and_quality,chlamydia_rate,2016,Fairfax,51059,259.1,Fairfax County
healthcare_access_and_quality,chlamydia_rate,2016,Fauquier,51061,216.6,Fauquier County
healthcare_access_and_quality,chlamydia_rate,2016,Floyd,51063,63.9,Floyd County
healthcare_access_and_quality,chlamydia_rate,2016,Fluvanna,51065,156.3,Fluvanna County
