Category,Variable,Year,County,FIPS,Value,County2,GEOID
demographics,per_65_and_over,2016,Accomack,51001,22.3,Accomack County,51001
demographics,per_65_and_over,2016,Albemarle,51003,17.7,Albemarle County,51003
demographics,per_65_and_over,2016,Alleghany,51005,25.1,Alleghany County,51005
demographics,per_65_and_over,2016,Amelia,51007,19.3,Amelia County,51007
demographics,per_65_and_over,2016,Amherst,51009,20.1,Amherst County,51009
demographics,per_65_and_over,2016,Appomattox,51011,19.7,Appomattox County,51011
demographics,per_65_and_over,2016,Arlington,51013,9.7,Arlington County,51013
demographics,per_65_and_over,2016,Augusta,51015,20.1,Augusta County,51015
demographics,per_65_and_over,2016,Bath,51017,26.2,Bath County,51017
demographics,per_65_and_over,2016,Bedford,51019,20.5,Bedford County,51019
demographics,per_65_and_over,2016,Bland,51021,22,Bland County,51021
demographics,per_65_and_over,2016,Botetourt,51023,21.4,Botetourt County,51023
demographics,per_65_and_over,2016,Brunswick,51025,20.5,Brunswick County,51025
demographics,per_65_and_over,2016,Buchanan,51027,20.7,Buchanan County,51027
demographics,per_65_and_over,2016,Buckingham,51029,17.8,Buckingham County,51029
demographics,per_65_and_over,2016,Campbell,51031,18.9,Campbell County,51031
demographics,per_65_and_over,2016,Caroline,51033,16,Caroline County,51033
demographics,per_65_and_over,2016,Carroll,51035,22.7,Carroll County,51035
demographics,per_65_and_over,2016,Charles City,51036,23.2,Charles City County,51036
demographics,per_65_and_over,2016,Charlotte,51037,21,Charlotte County,51037
demographics,per_65_and_over,2016,Chesterfield,51041,13.9,Chesterfield County,51041
demographics,per_65_and_over,2016,Clarke,51043,19.9,Clarke County,51043
demographics,per_65_and_over,2016,Craig,51045,22,Craig County,51045
demographics,per_65_and_over,2016,Culpeper,51047,14.7,Culpeper County,51047
demographics,per_65_and_over,2016,Cumberland,51049,20.6,Cumberland County,51049
demographics,per_65_and_over,2016,Dickenson,51051,19.8,Dickenson County,51051
demographics,per_65_and_over,2016,Dinwiddie,51053,17.1,Dinwiddie County,51053
demographics,per_65_and_over,2016,Essex,51057,21.4,Essex County,51057
demographics,per_65_and_over,2016,Fairfax,51059,12.4,Fairfax County,51059
demographics,per_65_and_over,2016,Fauquier,51061,16,Fauquier County,51061
demographics,per_65_and_over,2016,Floyd,51063,21.7,Floyd County,51063
demographics,per_65_and_over,2016,Fluvanna,51065,19.4,Fluvanna County,51065
demographics,per_65_and_over,2016,Franklin,51067,22.1,Franklin County,51067
demographics,per_65_and_over,2016,Frederick,51069,16.5,Frederick County,51069
demographics,per_65_and_over,2016,Giles,51071,20.7,Giles County,51071
demographics,per_65_and_over,2016,Gloucester,51073,18.3,Gloucester County,51073
demographics,per_65_and_over,2016,Goochland,51075,20.8,Goochland County,51075
demographics,per_65_and_over,2016,Grayson,51077,24.4,Grayson County,51077
demographics,per_65_and_over,2016,Greene,51079,16.7,Greene County,51079
demographics,per_65_and_over,2016,Greensville,51081,15.5,Greensville County,51081
demographics,per_65_and_over,2016,Halifax,51083,23.1,Halifax County,51083
demographics,per_65_and_over,2016,Hanover,51085,16.7,Hanover County,51085
demographics,per_65_and_over,2016,Henrico,51087,14.6,Henrico County,51087
demographics,per_65_and_over,2016,Henry,51089,22.6,Henry County,51089
demographics,per_65_and_over,2016,Highland,51091,31.2,Highland County,51091
demographics,per_65_and_over,2016,Isle of Wight,51093,18.3,Isle of Wight County,51093
demographics,per_65_and_over,2016,James City,51095,24.3,James City County,51095
demographics,per_65_and_over,2016,King and Queen,51097,22.1,King and Queen County,51097
demographics,per_65_and_over,2016,King George,51099,12.7,King George County,51099
demographics,per_65_and_over,2016,King William,51101,15.4,King William County,51101
demographics,per_65_and_over,2016,Lancaster,51103,36.6,Lancaster County,51103
demographics,per_65_and_over,2016,Lee,51105,20,Lee County,51105
demographics,per_65_and_over,2016,Loudoun,51107,8.7,Loudoun County,51107
demographics,per_65_and_over,2016,Louisa,51109,18.6,Louisa County,51109
demographics,per_65_and_over,2016,Lunenburg,51111,21.1,Lunenburg County,51111
demographics,per_65_and_over,2016,Madison,51113,21.5,Madison County,51113
demographics,per_65_and_over,2016,Mathews,51115,30.2,Mathews County,51115
demographics,per_65_and_over,2016,Mecklenburg,51117,24.8,Mecklenburg County,51117
demographics,per_65_and_over,2016,Middlesex,51119,30.2,Middlesex County,51119
demographics,per_65_and_over,2016,Montgomery,51121,11.5,Montgomery County,51121
demographics,per_65_and_over,2016,Nelson,51125,25.3,Nelson County,51125
demographics,per_65_and_over,2016,New Kent,51127,16.3,New Kent County,51127
demographics,per_65_and_over,2016,Northampton,51131,25.8,Northampton County,51131
demographics,per_65_and_over,2016,Northumberland,51133,35,Northumberland County,51133
demographics,per_65_and_over,2016,Nottoway,51135,19.2,Nottoway County,51135
demographics,per_65_and_over,2016,Orange,51137,20.3,Orange County,51137
demographics,per_65_and_over,2016,Page,51139,20.8,Page County,51139
demographics,per_65_and_over,2016,Patrick,51141,25.5,Patrick County,51141
demographics,per_65_and_over,2016,Pittsylvania,51143,21.2,Pittsylvania County,51143
demographics,per_65_and_over,2016,Powhatan,51145,17.3,Powhatan County,51145
demographics,per_65_and_over,2016,Prince Edward,51147,16.3,Prince Edward County,51147
demographics,per_65_and_over,2016,Prince George,51149,13.2,Prince George County,51149
demographics,per_65_and_over,2016,Prince William,51153,9.1,Prince William County,51153
demographics,per_65_and_over,2016,Pulaski,51155,21.7,Pulaski County,51155
demographics,per_65_and_over,2016,Rappahannock,51157,26.1,Rappahannock County,51157
demographics,per_65_and_over,2016,Richmond,51159,21.1,Richmond County,51159
demographics,per_65_and_over,2016,Roanoke,51161,20.7,Roanoke County,51161
demographics,per_65_and_over,2016,Rockbridge,51163,25,Rockbridge County,51163
demographics,per_65_and_over,2016,Rockingham,51165,18.6,Rockingham County,51165
demographics,per_65_and_over,2016,Russell,51167,20.1,Russell County,51167
demographics,per_65_and_over,2016,Scott,51169,22.5,Scott County,51169
demographics,per_65_and_over,2016,Shenandoah,51171,21.2,Shenandoah County,51171
demographics,per_65_and_over,2016,Smyth,51173,21.1,Smyth County,51173
demographics,per_65_and_over,2016,Southampton,51175,19.1,Southampton County,51175
demographics,per_65_and_over,2016,Spotsylvania,51177,13.3,Spotsylvania County,51177
demographics,per_65_and_over,2016,Stafford,51179,10,Stafford County,51179
demographics,per_65_and_over,2016,Surry,51181,20.6,Surry County,51181
demographics,per_65_and_over,2016,Sussex,51183,17.1,Sussex County,51183
demographics,per_65_and_over,2016,Tazewell,51185,20.8,Tazewell County,51185
demographics,per_65_and_over,2016,Warren,51187,14.9,Warren County,51187
demographics,per_65_and_over,2016,Washington,51191,21.5,Washington County,51191
demographics,per_65_and_over,2016,Westmoreland,51193,24.2,Westmoreland County,51193
demographics,per_65_and_over,2016,Wise,51195,16.9,Wise County,51195
demographics,per_65_and_over,2016,Wythe,51197,20.4,Wythe County,51197
demographics,per_65_and_over,2016,York,51199,15.2,York County,51199
demographics,per_65_and_over,2016,Alexandria City,51510,10.5,Alexandria City,51510
demographics,per_65_and_over,2016,Bristol City,51520,20.3,Bristol City,51520
demographics,per_65_and_over,2016,Buena Vista City,51530,18.8,Buena Vista City,51530
demographics,per_65_and_over,2016,Charlottesville City,51540,9.8,Charlottesville City,51540
demographics,per_65_and_over,2016,Chesapeake City,51550,12.6,Chesapeake City,51550
demographics,per_65_and_over,2016,Colonial Heights City,51570,20.4,Colonial Heights City,51570
demographics,per_65_and_over,2016,Covington City,51580,20.1,Covington City,51580
demographics,per_65_and_over,2016,Danville City,51590,20.4,Danville City,51590
demographics,per_65_and_over,2016,Emporia City,51595,18.2,Emporia City,51595
demographics,per_65_and_over,2016,Fairfax City,51600,16.5,Fairfax City,51600
demographics,per_65_and_over,2016,Falls Church City,51610,11.8,Falls Church City,51610
demographics,per_65_and_over,2016,Franklin City,51620,19,Franklin City,51620
demographics,per_65_and_over,2016,Fredericksburg City,51630,10.7,Fredericksburg City,51630
demographics,per_65_and_over,2016,Galax City,51640,21.1,Galax City,51640
demographics,per_65_and_over,2016,Hampton City,51650,14.6,Hampton City,51650
demographics,per_65_and_over,2016,Harrisonburg City,51660,8.6,Harrisonburg City,51660
demographics,per_65_and_over,2016,Hopewell City,51670,15.6,Hopewell City,51670
demographics,per_65_and_over,2016,Lexington City,51678,15,Lexington City,51678
demographics,per_65_and_over,2016,Lynchburg City,51680,14.4,Lynchburg City,51680
demographics,per_65_and_over,2016,Manassas City,51683,9.1,Manassas City,51683
demographics,per_65_and_over,2016,Manassas Park City,51685,7.9,Manassas Park City,51685
demographics,per_65_and_over,2016,Martinsville City,51690,21,Martinsville City,51690
demographics,per_65_and_over,2016,Newport News City,51700,12.3,Newport News City,51700
demographics,per_65_and_over,2016,Norfolk City,51710,10.4,Norfolk City,51710
demographics,per_65_and_over,2016,Norton City,51720,16.8,Norton City,51720
demographics,per_65_and_over,2016,Petersburg City,51730,16.1,Petersburg City,51730
demographics,per_65_and_over,2016,Poquoson City,51735,19.2,Poquoson City,51735
demographics,per_65_and_over,2016,Portsmouth City,51740,14.4,Portsmouth City,51740
demographics,per_65_and_over,2016,Radford City,51750,8.1,Radford City,51750
demographics,per_65_and_over,2016,Richmond City,51760,11.8,Richmond City,51760
demographics,per_65_and_over,2016,Roanoke City,51770,15.6,Roanoke City,51770
demographics,per_65_and_over,2016,Salem City,51775,17.8,Salem City,51775
demographics,per_65_and_over,2016,Staunton City,51790,21.4,Staunton City,51790
demographics,per_65_and_over,2016,Suffolk City,51800,13.6,Suffolk City,51800
demographics,per_65_and_over,2016,Virginia Beach City,51810,13.2,Virginia Beach City,51810
demographics,per_65_and_over,2016,Waynesboro City,51820,18.5,Waynesboro City,51820
demographics,per_65_and_over,2016,Williamsburg City,51830,16.3,Williamsburg City,51830
demographics,per_65_and_over,2016,Winchester City,51840,15.3,Winchester City,51840
demographics,per_65_and_over,2017,Accomack,51001,22.7,Accomack County,51001
demographics,per_65_and_over,2017,Albemarle,51003,17.8,Albemarle County,51003
demographics,per_65_and_over,2017,Alleghany,51005,24.1,Alleghany County,51005
demographics,per_65_and_over,2017,Amelia,51007,19.1,Amelia County,51007
demographics,per_65_and_over,2017,Amherst,51009,20.6,Amherst County,51009
demographics,per_65_and_over,2017,Appomattox,51011,20.4,Appomattox County,51011
demographics,per_65_and_over,2017,Arlington,51013,10.3,Arlington County,51013
demographics,per_65_and_over,2017,Augusta,51015,20.4,Augusta County,51015
demographics,per_65_and_over,2017,Bath,51017,27.3,Bath County,51017
demographics,per_65_and_over,2017,Bedford,51019,20.8,Bedford County,51019
demographics,per_65_and_over,2017,Bland,51021,22.6,Bland County,51021
demographics,per_65_and_over,2017,Botetourt,51023,22.1,Botetourt County,51023
demographics,per_65_and_over,2017,Brunswick,51025,20.9,Brunswick County,51025
demographics,per_65_and_over,2017,Buchanan,51027,21.8,Buchanan County,51027
demographics,per_65_and_over,2017,Buckingham,51029,18.9,Buckingham County,51029
demographics,per_65_and_over,2017,Campbell,51031,19.3,Campbell County,51031
demographics,per_65_and_over,2017,Caroline,51033,16,Caroline County,51033
demographics,per_65_and_over,2017,Carroll,51035,23.8,Carroll County,51035
demographics,per_65_and_over,2017,Charles City,51036,23.5,Charles City County,51036
demographics,per_65_and_over,2017,Charlotte,51037,21.8,Charlotte County,51037
