Agent,NAMELSAD,non_snap_zscore_type,non_snap_territory_type,new_agent
Albemarle,Fluvanna,aggregate,base,0
Albemarle,Nelson,aggregate,base,0
Albemarle,Waynesboro City,aggregate,base,0
Amelia,Amelia,aggregate,base,0
Amelia,Cumberland,aggregate,base,0
Amelia,Nottoway,aggregate,base,0
Amelia,Prince Edward,aggregate,base,0
Amherst,Amherst,aggregate,base,0
Amherst,Appomattox,aggregate,base,0
Amherst,Buckingham,aggregate,base,0
Amherst,Campbell,aggregate,base,0
Amherst,Lynchburg City,aggregate,base,0
Bedford,Bedford,aggregate,base,0
Bedford,Pittsylvania,aggregate,base,0
Chesapeake City,Chesapeake City,aggregate,base,0
Chesapeake City,Portsmouth City,aggregate,base,0
Chesapeake City,Suffolk City,aggregate,base,0
Chesapeake City,Virginia Beach City,aggregate,base,0
Fairfax,Alexandria City,aggregate,base,0
Fairfax,Arlington,aggregate,base,0
Fairfax,Fairfax City,aggregate,base,0
Fairfax,Fairfax,aggregate,base,0
Fairfax,Falls Church City,aggregate,base,0
Fairfax,Manassas City,aggregate,base,0
Fairfax,Manassas Park City,aggregate,base,0
Fairfax,Prince William,aggregate,base,0
Floyd,Alleghany,aggregate,base,0
Floyd,Botetourt,aggregate,base,0
Floyd,Covington City,aggregate,base,0
Floyd,Craig,aggregate,base,0
Floyd,Floyd,aggregate,base,0
Floyd,Montgomery,aggregate,base,0
Floyd,Roanoke City,aggregate,base,0
Floyd,Roanoke,aggregate,base,0
Floyd,Salem City,aggregate,base,0
Gloucester,Gloucester,aggregate,base,0
Gloucester,King And Queen,aggregate,base,0
Gloucester,Mathews,aggregate,base,0
Gloucester,Middlesex,aggregate,base,0
Greensville,Emporia City,aggregate,base,0
Greensville,Franklin City,aggregate,base,0
Greensville,Greensville,aggregate,base,0
Greensville,Southampton,aggregate,base,0
Greensville,Sussex,aggregate,base,0
Henrico,Goochland,aggregate,base,0
Henrico,Hanover,aggregate,base,0
King George,Caroline,aggregate,base,0
King George,Essex,aggregate,base,0
King George,King George,aggregate,base,0
King George,Westmoreland,aggregate,base,0
Lancaster,Lancaster,aggregate,base,0
Lancaster,Northumberland,aggregate,base,0
Lancaster,Richmond,aggregate,base,0
Lee,Bristol City,aggregate,base,0
Lee,Dickenson,aggregate,base,0
Lee,Lee,aggregate,base,0
Lee,Norton City,aggregate,base,0
Lee,Russell,aggregate,base,0
Lee,Scott,aggregate,base,0
Lee,Wise,aggregate,base,0
Loudoun,Loudoun,aggregate,base,0
Louisa,Albemarle,aggregate,base,0
Louisa,Charlottesville City,aggregate,base,0
Louisa,Louisa,aggregate,base,0
Mecklenburg,Brunswick,aggregate,base,0
Mecklenburg,Charlotte,aggregate,base,0
Mecklenburg,Halifax,aggregate,base,0
Mecklenburg,Lunenburg,aggregate,base,0
Mecklenburg,Mecklenburg,aggregate,base,0
Newport News City North,Charles City,aggregate,base,0
Newport News City North,Hampton City,aggregate,base,0
Newport News City North,Isle Of Wight,aggregate,base,0
Newport News City North,James City,aggregate,base,0
Newport News City North,New Kent,aggregate,base,0
Newport News City North,Newport News City,aggregate,base,0
Newport News City North,Poquoson City,aggregate,base,0
Newport News City North,Williamsburg City,aggregate,base,0
Newport News City North,York,aggregate,base,0
Orange,Culpeper,aggregate,base,0
Orange,Greene,aggregate,base,0
Orange,Madison,aggregate,base,0
Orange,Orange,aggregate,base,0
Patrick,Danville City,aggregate,base,0
Patrick,Franklin,aggregate,base,0
Patrick,Henry,aggregate,base,0
Patrick,Martinsville City,aggregate,base,0
Patrick,Patrick,aggregate,base,0
Petersburg City,Dinwiddie,aggregate,base,0
Petersburg City,Hopewell City,aggregate,base,0
Petersburg City,Petersburg City,aggregate,base,0
Petersburg City,Prince George,aggregate,base,0
Petersburg City,Surry,aggregate,base,0
Pulaski,Bland,aggregate,base,0
Pulaski,Buchanan,aggregate,base,0
Pulaski,Carroll,aggregate,base,0
Pulaski,Galax City,aggregate,base,0
Pulaski,Giles,aggregate,base,0
Pulaski,Grayson,aggregate,base,0
Pulaski,Pulaski,aggregate,base,0
Pulaski,Radford City,aggregate,base,0
Pulaski,Smyth,aggregate,base,0
Pulaski,Tazewell,aggregate,base,0
Pulaski,Washington,aggregate,base,0
Pulaski,Wythe,aggregate,base,0
Richmond City,Chesterfield,aggregate,base,0
Richmond City,Colonial Heights City,aggregate,base,0
Richmond City,Henrico,aggregate,base,0
Richmond City,King William,aggregate,base,0
Richmond City,Powhatan,aggregate,base,0
Richmond City,Richmond City,aggregate,base,0
Rockingham,Augusta,aggregate,base,0
Rockingham,Bath,aggregate,base,0
Rockingham,Buena Vista City,aggregate,base,0
Rockingham,Harrisonburg City,aggregate,base,0
Rockingham,Highland,aggregate,base,0
Rockingham,Lexington City,aggregate,base,0
Rockingham,Rockbridge,aggregate,base,0
Rockingham,Rockingham,aggregate,base,0
Rockingham,Staunton City,aggregate,base,0
Spotsylvania,Fredericksburg City,aggregate,base,0
Spotsylvania,Spotsylvania,aggregate,base,0
Spotsylvania,Stafford,aggregate,base,0
Virginia Beach City North,Accomack,aggregate,base,0
Virginia Beach City North,Norfolk City,aggregate,base,0
Virginia Beach City North,Northampton,aggregate,base,0
Warren,Clarke,aggregate,base,0
Warren,Fauquier,aggregate,base,0
Warren,Frederick,aggregate,base,0
Warren,Page,aggregate,base,0
Warren,Rappahannock,aggregate,base,0
Warren,Shenandoah,aggregate,base,0
Warren,Warren,aggregate,base,0
Warren,Winchester City,aggregate,base,0
Albemarle,Fluvanna,obese,base,0
Albemarle,Nelson,obese,base,0
Albemarle,Waynesboro City,obese,base,0
Amelia,Amelia,obese,base,0
Amelia,Cumberland,obese,base,0
Amelia,Nottoway,obese,base,0
Amelia,Prince Edward,obese,base,0
Amherst,Amherst,obese,base,0
Amherst,Appomattox,obese,base,0
Amherst,Buckingham,obese,base,0
Amherst,Campbell,obese,base,0
Amherst,Lynchburg City,obese,base,0
Bedford,Bedford,obese,base,0
Bedford,Pittsylvania,obese,base,0
Chesapeake City,Chesapeake City,obese,base,0
Chesapeake City,Portsmouth City,obese,base,0
Chesapeake City,Suffolk City,obese,base,0
Chesapeake City,Virginia Beach City,obese,base,0
Fairfax,Alexandria City,obese,base,0
Fairfax,Arlington,obese,base,0
Fairfax,Fairfax City,obese,base,0
Fairfax,Fairfax,obese,base,0
Fairfax,Falls Church City,obese,base,0
Fairfax,Manassas City,obese,base,0
Fairfax,Manassas Park City,obese,base,0
Fairfax,Prince William,obese,base,0
Floyd,Alleghany,obese,base,0
Floyd,Botetourt,obese,base,0
Floyd,Covington City,obese,base,0
Floyd,Craig,obese,base,0
Floyd,Floyd,obese,base,0
Floyd,Montgomery,obese,base,0
Floyd,Roanoke City,obese,base,0
Floyd,Roanoke,obese,base,0
Floyd,Salem City,obese,base,0
Gloucester,Gloucester,obese,base,0
Gloucester,King And Queen,obese,base,0
Gloucester,Mathews,obese,base,0
Gloucester,Middlesex,obese,base,0
Greensville,Emporia City,obese,base,0
Greensville,Franklin City,obese,base,0
Greensville,Greensville,obese,base,0
Greensville,Southampton,obese,base,0
Greensville,Sussex,obese,base,0
Henrico,Goochland,obese,base,0
Henrico,Hanover,obese,base,0
King George,Caroline,obese,base,0
King George,Essex,obese,base,0
King George,King George,obese,base,0
King George,Westmoreland,obese,base,0
Lancaster,Lancaster,obese,base,0
Lancaster,Northumberland,obese,base,0
Lancaster,Richmond,obese,base,0
Lee,Bristol City,obese,base,0
Lee,Dickenson,obese,base,0
Lee,Lee,obese,base,0
Lee,Norton City,obese,base,0
Lee,Russell,obese,base,0
Lee,Scott,obese,base,0
Lee,Wise,obese,base,0
Loudoun,Loudoun,obese,base,0
Louisa,Albemarle,obese,base,0
Louisa,Charlottesville City,obese,base,0
Louisa,Louisa,obese,base,0
Mecklenburg,Brunswick,obese,base,0
Mecklenburg,Charlotte,obese,base,0
Mecklenburg,Halifax,obese,base,0
Mecklenburg,Lunenburg,obese,base,0
Mecklenburg,Mecklenburg,obese,base,0
Newport News City North,Charles City,obese,base,0
Newport News City North,Hampton City,obese,base,0
Newport News City North,Isle Of Wight,obese,base,0
Newport News City North,James City,obese,base,0
Newport News City North,New Kent,obese,base,0
Newport News City North,Newport News City,obese,base,0
Newport News City North,Poquoson City,obese,base,0
Newport News City North,Williamsburg City,obese,base,0
Newport News City North,York,obese,base,0
Orange,Culpeper,obese,base,0
Orange,Greene,obese,base,0
Orange,Madison,obese,base,0
Orange,Orange,obese,base,0
Patrick,Danville City,obese,base,0
Patrick,Franklin,obese,base,0
Patrick,Henry,obese,base,0
Patrick,Martinsville City,obese,base,0
Patrick,Patrick,obese,base,0
Petersburg City,Dinwiddie,obese,base,0
Petersburg City,Hopewell City,obese,base,0
Petersburg City,Petersburg City,obese,base,0
Petersburg City,Prince George,obese,base,0
Petersburg City,Surry,obese,base,0
Pulaski,Bland,obese,base,0
Pulaski,Buchanan,obese,base,0
Pulaski,Carroll,obese,base,0
Pulaski,Galax City,obese,base,0
Pulaski,Giles,obese,base,0
Pulaski,Grayson,obese,base,0
Pulaski,Pulaski,obese,base,0
Pulaski,Radford City,obese,base,0
Pulaski,Smyth,obese,base,0
Pulaski,Tazewell,obese,base,0
Pulaski,Washington,obese,base,0
Pulaski,Wythe,obese,base,0
Richmond City,Chesterfield,obese,base,0
Richmond City,Colonial Heights City,obese,base,0
Richmond City,Henrico,obese,base,0
Richmond City,King William,obese,base,0
Richmond City,Powhatan,obese,base,0
Richmond City,Richmond City,obese,base,0
Rockingham,Augusta,obese,base,0
Rockingham,Bath,obese,base,0
Rockingham,Buena Vista City,obese,base,0
Rockingham,Harrisonburg City,obese,base,0
Rockingham,Highland,obese,base,0
Rockingham,Lexington City,obese,base,0
Rockingham,Rockbridge,obese,base,0
Rockingham,Rockingham,obese,base,0
