Aggregate,Aggregate,Obesity,Obesity,Diabetes,Diabetes,Food Insecurity,Food Insecurity,Inactivity,Inactivity,Low Birthweight,Low Birthweight
Albemarle County,"['Albemarle County', 'Charlottesville City', 'Fluvanna County', 'Nelson County', 'Waynesboro City']",Albemarle County,"['Albemarle County', 'Charlottesville City', 'Fluvanna County', 'Nelson County', 'Waynesboro City']",Albemarle County,"['Albemarle County', 'Charlottesville City', 'Fluvanna County', 'Nelson County', 'Waynesboro City']",Albemarle County,"['Albemarle County', 'Charlottesville City', 'Fluvanna County', 'Nelson County', 'Waynesboro City']",Albemarle County,"['Albemarle County', 'Charlottesville City', 'Fluvanna County', 'Nelson County']",Albemarle County,"['Albemarle County', 'Charlottesville City', 'Fluvanna County', 'Nelson County', 'Waynesboro City']"
Amelia County,"['Amelia County', 'Cumberland County', 'Nottoway County', 'Prince Edward County']",Amelia County,"['Amelia County', 'Cumberland County', 'Nottoway County', 'Prince Edward County']",Amelia County,"['Amelia County', 'Cumberland County', 'Nottoway County', 'Prince Edward County']",Amelia County,"['Amelia County', 'Cumberland County', 'Nottoway County', 'Prince Edward County']",Amelia County,"['Amelia County', 'Cumberland County', 'Nottoway County', 'Prince Edward County']",Amelia County,"['Amelia County', 'Cumberland County', 'Nottoway County', 'Prince Edward County']"
Amherst County,"['Amherst County', 'Buckingham County']",Amherst County,"['Amherst County', 'Buckingham County']",Amherst County,"['Amherst County', 'Buckingham County']",Amherst County,"['Amherst County', 'Buckingham County']",Amherst County,"['Amherst County', 'Buckingham County']",Amherst County,"['Amherst County', 'Buckingham County']"
Arlington County,"['Alexandria City', 'Arlington County']",Arlington County,"['Alexandria City', 'Arlington County']",Arlington County,"['Alexandria City', 'Arlington County']",Arlington County,"['Alexandria City', 'Arlington County']",Arlington County,"['Alexandria City', 'Arlington County']",Arlington County,"['Alexandria City', 'Arlington County']"
Bedford County,['Bedford County'],Bedford County,['Bedford County'],Bedford County,['Bedford County'],Bedford County,['Bedford County'],Bedford County,['Bedford County'],Bedford County,['Bedford County']
Chesapeake City,"['Chesapeake City', 'Portsmouth City', 'Suffolk City']",Chesapeake City,"['Chesapeake City', 'Portsmouth City', 'Suffolk City']",Chesapeake City,"['Chesapeake City', 'Portsmouth City', 'Suffolk City']",Chesapeake City,"['Chesapeake City', 'Portsmouth City', 'Suffolk City']",Chesapeake City,"['Chesapeake City', 'Portsmouth City', 'Suffolk City']",Chesapeake City,"['Chesapeake City', 'Portsmouth City', 'Suffolk City']"
Fairfax County,"['Fairfax City', 'Fairfax County', 'Falls Church City', 'Manassas City', 'Manassas Park City', 'Prince William County']",Fairfax County,"['Fairfax City', 'Fairfax County', 'Falls Church City', 'Manassas City', 'Manassas Park City', 'Prince William County']",Fairfax County,"['Fairfax City', 'Fairfax County', 'Falls Church City', 'Manassas City', 'Manassas Park City', 'Prince William County']",Fairfax County,"['Fairfax City', 'Fairfax County', 'Falls Church City']",Fairfax County,"['Fairfax City', 'Fairfax County', 'Falls Church City', 'Manassas City', 'Manassas Park City', 'Prince William County']",Fairfax County,"['Fairfax City', 'Fairfax County', 'Falls Church City', 'Manassas City', 'Manassas Park City', 'Prince William County']"
Floyd County,"['Floyd County', 'Montgomery County']",Floyd County,"['Floyd County', 'Montgomery County']",Floyd County,"['Floyd County', 'Montgomery County']",Floyd County,"['Floyd County', 'Montgomery County']",Floyd County,"['Floyd County', 'Montgomery County']",Floyd County,"['Floyd County', 'Montgomery County']"
Franklin County,['Franklin County'],Franklin County,['Franklin County'],Franklin County,['Franklin County'],Franklin County,['Franklin County'],Franklin County,['Franklin County'],Franklin County,['Franklin County']
Gloucester County,"['Gloucester County', 'King and Queen County', 'Mathews County', 'Middlesex County']",Gloucester County,"['Gloucester County', 'King and Queen County', 'Mathews County', 'Middlesex County']",Gloucester County,"['Gloucester County', 'King and Queen County', 'Mathews County', 'Middlesex County']",Gloucester County,"['Gloucester County', 'King and Queen County', 'Mathews County', 'Middlesex County']",Gloucester County,"['Gloucester County', 'King and Queen County', 'Mathews County', 'Middlesex County']",Gloucester County,"['Gloucester County', 'King and Queen County', 'Mathews County', 'Middlesex County']"
Greensville County,"['Emporia City', 'Franklin City', 'Greensville County', 'Southampton County', 'Sussex County']",Greensville County,"['Emporia City', 'Franklin City', 'Greensville County', 'Southampton County', 'Sussex County']",Greensville County,"['Emporia City', 'Franklin City', 'Greensville County', 'Southampton County', 'Sussex County']",Greensville County,"['Emporia City', 'Franklin City', 'Greensville County', 'Southampton County', 'Sussex County']",Greensville County,"['Emporia City', 'Franklin City', 'Greensville County', 'Southampton County', 'Sussex County']",Greensville County,"['Emporia City', 'Franklin City', 'Greensville County', 'Southampton County', 'Sussex County']"
Henrico County,['Hanover County'],Henrico County,['Hanover County'],Henrico County,['Hanover County'],Henrico County,['Hanover County'],Henrico County,['Hanover County'],Henrico County,['Hanover County']
King George County,"['Caroline County', 'Essex County', 'King George County', 'Westmoreland County']",King George County,"['Caroline County', 'Essex County', 'King George County', 'Westmoreland County']",King George County,"['Caroline County', 'Essex County', 'King George County', 'Westmoreland County']",King George County,"['Caroline County', 'Essex County', 'King George County', 'Westmoreland County']",King George County,"['Caroline County', 'Essex County', 'King George County', 'Westmoreland County']",King George County,"['Caroline County', 'Essex County', 'King George County', 'Westmoreland County']"
Lancaster County,"['Lancaster County', 'Northumberland County', 'Richmond County']",Lancaster County,"['Lancaster County', 'Northumberland County', 'Richmond County']",Lancaster County,"['Lancaster County', 'Northumberland County', 'Richmond County']",Lancaster County,"['Lancaster County', 'Northumberland County', 'Richmond County']",Lancaster County,"['Lancaster County', 'Northumberland County', 'Richmond County']",Lancaster County,"['Lancaster County', 'Northumberland County', 'Richmond County']"
Lee County,"['Lee County', 'Norton City', 'Scott County', 'Wise County']",Lee County,"['Lee County', 'Norton City', 'Scott County', 'Wise County']",Lee County,"['Lee County', 'Norton City', 'Scott County', 'Wise County']",Lee County,"['Lee County', 'Norton City', 'Scott County', 'Wise County']",Lee County,"['Lee County', 'Norton City', 'Scott County', 'Wise County']",Lee County,"['Lee County', 'Norton City', 'Scott County', 'Wise County']"
Loudoun County,['Loudoun County'],Loudoun County,['Loudoun County'],Loudoun County,['Loudoun County'],Loudoun County,['Loudoun County'],Loudoun County,['Loudoun County'],Loudoun County,['Loudoun County']
Louisa County,['Louisa County'],Louisa County,['Louisa County'],Louisa County,['Louisa County'],Louisa County,['Louisa County'],Louisa County,['Louisa County'],Louisa County,['Louisa County']
Lynchburg City County,"['Appomattox County', 'Campbell County', 'Lynchburg City']",Lynchburg City County,"['Appomattox County', 'Campbell County', 'Lynchburg City']",Lynchburg City County,"['Appomattox County', 'Campbell County', 'Lynchburg City']",Lynchburg City County,"['Appomattox County', 'Campbell County', 'Lynchburg City']",Lynchburg City County,"['Appomattox County', 'Campbell County', 'Lynchburg City']",Lynchburg City County,"['Appomattox County', 'Campbell County', 'Lynchburg City']"
Mecklenburg County,"['Brunswick County', 'Charlotte County', 'Lunenburg County', 'Mecklenburg County']",Mecklenburg County,"['Brunswick County', 'Charlotte County', 'Lunenburg County', 'Mecklenburg County']",Mecklenburg County,"['Brunswick County', 'Charlotte County', 'Lunenburg County', 'Mecklenburg County']",Mecklenburg County,"['Brunswick County', 'Charlotte County', 'Lunenburg County', 'Mecklenburg County']",Mecklenburg County,"['Brunswick County', 'Charlotte County', 'Lunenburg County', 'Mecklenburg County']",Mecklenburg County,"['Brunswick County', 'Charlotte County', 'Lunenburg County', 'Mecklenburg County']"
Newport News City,"['Hampton City', 'Isle of Wight County', 'Newport News City', 'Poquoson City']",Newport News City,"['Hampton City', 'Isle of Wight County', 'Newport News City', 'Poquoson City']",Newport News City,"['Hampton City', 'Isle of Wight County', 'Newport News City', 'Poquoson City']",Newport News City,"['Hampton City', 'Isle of Wight County', 'Newport News City', 'Poquoson City']",Newport News City,"['Hampton City', 'Isle of Wight County', 'Newport News City', 'Poquoson City']",Newport News City,"['Hampton City', 'Isle of Wight County', 'Newport News City', 'Poquoson City']"
Newport News City North,"['Charles City County', 'James City County', 'New Kent County', 'Williamsburg City', 'York County']",Newport News City North,"['Charles City County', 'James City County', 'New Kent County', 'Williamsburg City', 'York County']",Newport News City North,"['Charles City County', 'James City County', 'New Kent County', 'Williamsburg City', 'York County']",Newport News City North,"['Charles City County', 'James City County', 'New Kent County', 'Williamsburg City', 'York County']",Newport News City North,"['Charles City County', 'James City County', 'New Kent County', 'Williamsburg City', 'York County']",Newport News City North,"['Charles City County', 'James City County', 'New Kent County', 'Williamsburg City', 'York County']"
Orange County,"['Culpeper County', 'Greene County', 'Madison County', 'Orange County']",Orange County,"['Culpeper County', 'Greene County', 'Madison County', 'Orange County']",Orange County,"['Culpeper County', 'Greene County', 'Madison County', 'Orange County']",Orange County,"['Culpeper County', 'Greene County', 'Madison County', 'Orange County']",Orange County,"['Culpeper County', 'Greene County', 'Madison County', 'Orange County']",Orange County,"['Culpeper County', 'Greene County', 'Madison County', 'Orange County']"
