Variable,Year,Value,County2
chlamydia_rate,2016,746,Accomack County
chlamydia_rate,2016,260,Albemarle County
chlamydia_rate,2016,230,Alleghany County
chlamydia_rate,2016,256,Amelia County
chlamydia_rate,2016,351,Amherst County
chlamydia_rate,2016,363,Appomattox County
chlamydia_rate,2016,404,Arlington County
chlamydia_rate,2016,179,Augusta County
chlamydia_rate,2016,112,Bath County
chlamydia_rate,2016,175,Bedford County
chlamydia_rate,2016,,Bland County
chlamydia_rate,2016,177,Botetourt County
chlamydia_rate,2016,713,Brunswick County
chlamydia_rate,2016,66,Buchanan County
chlamydia_rate,2016,294,Buckingham County
chlamydia_rate,2016,276,Campbell County
chlamydia_rate,2016,357,Caroline County
chlamydia_rate,2016,175,Carroll County
chlamydia_rate,2016,298,Charles City County
chlamydia_rate,2016,303,Charlotte County
chlamydia_rate,2016,461,Chesterfield County
chlamydia_rate,2016,216,Clarke County
chlamydia_rate,2016,96,Craig County
chlamydia_rate,2016,217,Culpeper County
chlamydia_rate,2016,473,Cumberland County
chlamydia_rate,2016,126,Dickenson County
chlamydia_rate,2016,607,Dinwiddie County
chlamydia_rate,2016,476,Essex County
chlamydia_rate,2016,259,Fairfax County
chlamydia_rate,2016,217,Fauquier County
chlamydia_rate,2016,64,Floyd County
chlamydia_rate,2016,156,Fluvanna County
chlamydia_rate,2016,222,Franklin County
chlamydia_rate,2016,234,Frederick County
chlamydia_rate,2016,287,Giles County
chlamydia_rate,2016,264,Gloucester County
chlamydia_rate,2016,288,Goochland County
chlamydia_rate,2016,131,Grayson County
chlamydia_rate,2016,198,Greene County
chlamydia_rate,2016,471,Greensville County
chlamydia_rate,2016,430,Halifax County
chlamydia_rate,2016,296,Hanover County
chlamydia_rate,2016,584,Henrico County
chlamydia_rate,2016,318,Henry County
chlamydia_rate,2016,,Highland County
chlamydia_rate,2016,364,Isle of Wight County
chlamydia_rate,2016,261,James City County
chlamydia_rate,2016,391,King and Queen County
chlamydia_rate,2016,341,King George County
chlamydia_rate,2016,436,King William County
chlamydia_rate,2016,410,Lancaster County
chlamydia_rate,2016,97,Lee County
chlamydia_rate,2016,233,Loudoun County
chlamydia_rate,2016,237,Louisa County
chlamydia_rate,2016,317,Lunenburg County
chlamydia_rate,2016,236,Madison County
chlamydia_rate,2016,113,Mathews County
chlamydia_rate,2016,483,Mecklenburg County
chlamydia_rate,2016,207,Middlesex County
chlamydia_rate,2016,327,Montgomery County
chlamydia_rate,2016,230,Nelson County
chlamydia_rate,2016,255,New Kent County
chlamydia_rate,2016,872,Northampton County
chlamydia_rate,2016,392,Northumberland County
chlamydia_rate,2016,810,Nottoway County
chlamydia_rate,2016,300,Orange County
chlamydia_rate,2016,97,Page County
chlamydia_rate,2016,161,Patrick County
chlamydia_rate,2016,262,Pittsylvania County
chlamydia_rate,2016,239,Powhatan County
chlamydia_rate,2016,610,Prince Edward County
chlamydia_rate,2016,811,Prince George County
chlamydia_rate,2016,419,Prince William County
chlamydia_rate,2016,274,Pulaski County
chlamydia_rate,2016,230,Rappahannock County
chlamydia_rate,2016,303,Richmond County
chlamydia_rate,2016,292,Roanoke County
chlamydia_rate,2016,251,Rockbridge County
chlamydia_rate,2016,190,Rockingham County
chlamydia_rate,2016,147,Russell County
chlamydia_rate,2016,181,Scott County
chlamydia_rate,2016,195,Shenandoah County
chlamydia_rate,2016,261,Smyth County
chlamydia_rate,2016,469,Southampton County
chlamydia_rate,2016,314,Spotsylvania County
chlamydia_rate,2016,337,Stafford County
chlamydia_rate,2016,581,Surry County
chlamydia_rate,2016,649,Sussex County
chlamydia_rate,2016,224,Tazewell County
chlamydia_rate,2016,294,Warren County
chlamydia_rate,2016,176,Washington County
chlamydia_rate,2016,369,Westmoreland County
chlamydia_rate,2016,262,Wise County
chlamydia_rate,2016,213,Wythe County
chlamydia_rate,2016,302,York County
chlamydia_rate,2016,438,Alexandria City
chlamydia_rate,2016,420,Bristol City
chlamydia_rate,2016,166,Buena Vista City
chlamydia_rate,2016,453,Charlottesville City
chlamydia_rate,2016,590,Chesapeake City
chlamydia_rate,2016,494,Colonial Heights City
