Category,Variable,Year,County,FIPS,Value,County2
health_outcomes,per_low_birthweight,2016,Accomack,51001,10,Accomack Couny
health_outcomes,per_low_birthweight,2016,Albemarle,51003,6,Albemarle Couny
health_outcomes,per_low_birthweight,2016,Alleghany,51005,8,Alleghany Couny
health_outcomes,per_low_birthweight,2016,Amelia,51007,7,Amelia Couny
health_outcomes,per_low_birthweight,2016,Amherst,51009,7,Amherst Couny
health_outcomes,per_low_birthweight,2016,Appomattox,51011,9,Appomattox Couny
health_outcomes,per_low_birthweight,2016,Arlington,51013,7,Arlington Couny
health_outcomes,per_low_birthweight,2016,Augusta,51015,7,Augusta Couny
health_outcomes,per_low_birthweight,2016,Bath,51017,6,Bath Couny
health_outcomes,per_low_birthweight,2016,Bedford,51019,7,Bedford Couny
health_outcomes,per_low_birthweight,2016,Bland,51021,7,Bland Couny
health_outcomes,per_low_birthweight,2016,Botetourt,51023,7,Botetourt Couny
health_outcomes,per_low_birthweight,2016,Brunswick,51025,11,Brunswick Couny
health_outcomes,per_low_birthweight,2016,Buchanan,51027,9,Buchanan Couny
health_outcomes,per_low_birthweight,2016,Buckingham,51029,10,Buckingham Couny
health_outcomes,per_low_birthweight,2016,Campbell,51031,7,Campbell Couny
health_outcomes,per_low_birthweight,2016,Caroline,51033,9,Caroline Couny
health_outcomes,per_low_birthweight,2016,Carroll,51035,7,Carroll Couny
health_outcomes,per_low_birthweight,2016,Charles City,51036,11,Charles City Couny
health_outcomes,per_low_birthweight,2016,Charlotte,51037,11,Charlotte Couny
health_outcomes,per_low_birthweight,2016,Chesterfield,51041,8,Chesterfield Couny
health_outcomes,per_low_birthweight,2016,Clarke,51043,7,Clarke Couny
health_outcomes,per_low_birthweight,2016,Craig,51045,10,Craig Couny
health_outcomes,per_low_birthweight,2016,Culpeper,51047,7,Culpeper Couny
health_outcomes,per_low_birthweight,2016,Cumberland,51049,11,Cumberland Couny
health_outcomes,per_low_birthweight,2016,Dickenson,51051,9,Dickenson Couny
health_outcomes,per_low_birthweight,2016,Dinwiddie,51053,9,Dinwiddie Couny
health_outcomes,per_low_birthweight,2016,Essex,51057,11,Essex Couny
health_outcomes,per_low_birthweight,2016,Fairfax,51059,7,Fairfax Couny
health_outcomes,per_low_birthweight,2016,Fauquier,51061,6,Fauquier Couny
health_outcomes,per_low_birthweight,2016,Floyd,51063,7,Floyd Couny
health_outcomes,per_low_birthweight,2016,Fluvanna,51065,7,Fluvanna Couny
health_outcomes,per_low_birthweight,2016,Franklin,51067,8,Franklin Couny
health_outcomes,per_low_birthweight,2016,Frederick,51069,7,Frederick Couny
health_outcomes,per_low_birthweight,2016,Giles,51071,10,Giles Couny
health_outcomes,per_low_birthweight,2016,Gloucester,51073,8,Gloucester Couny
health_outcomes,per_low_birthweight,2016,Goochland,51075,6,Goochland Couny
health_outcomes,per_low_birthweight,2016,Grayson,51077,7,Grayson Couny
health_outcomes,per_low_birthweight,2016,Greene,51079,7,Greene Couny
health_outcomes,per_low_birthweight,2016,Greensville,51081,13,Greensville Couny
health_outcomes,per_low_birthweight,2016,Halifax,51083,10,Halifax Couny
health_outcomes,per_low_birthweight,2016,Hanover,51085,7,Hanover Couny
health_outcomes,per_low_birthweight,2016,Henrico,51087,8,Henrico Couny
health_outcomes,per_low_birthweight,2016,Henry,51089,9,Henry Couny
health_outcomes,per_low_birthweight,2016,Highland,51091,,Highland Couny
health_outcomes,per_low_birthweight,2016,Isle of Wight,51093,7,Isle of Wight Couny
health_outcomes,per_low_birthweight,2016,James City,51095,7,James City Couny
health_outcomes,per_low_birthweight,2016,King and Queen,51097,9,King and Queen Couny
health_outcomes,per_low_birthweight,2016,King George,51099,8,King George Couny
health_outcomes,per_low_birthweight,2016,King William,51101,8,King William Couny
health_outcomes,per_low_birthweight,2016,Lancaster,51103,11,Lancaster Couny
health_outcomes,per_low_birthweight,2016,Lee,51105,10,Lee Couny
health_outcomes,per_low_birthweight,2016,Loudoun,51107,6,Loudoun Couny
health_outcomes,per_low_birthweight,2016,Louisa,51109,8,Louisa Couny
health_outcomes,per_low_birthweight,2016,Lunenburg,51111,15,Lunenburg Couny
health_outcomes,per_low_birthweight,2016,Madison,51113,7,Madison Couny
health_outcomes,per_low_birthweight,2016,Mathews,51115,9,Mathews Couny
health_outcomes,per_low_birthweight,2016,Mecklenburg,51117,11,Mecklenburg Couny
health_outcomes,per_low_birthweight,2016,Middlesex,51119,10,Middlesex Couny
health_outcomes,per_low_birthweight,2016,Montgomery,51121,7,Montgomery Couny
health_outcomes,per_low_birthweight,2016,Nelson,51125,6,Nelson Couny
health_outcomes,per_low_birthweight,2016,New Kent,51127,7,New Kent Couny
health_outcomes,per_low_birthweight,2016,Northampton,51131,9,Northampton Couny
health_outcomes,per_low_birthweight,2016,Northumberland,51133,12,Northumberland Couny
health_outcomes,per_low_birthweight,2016,Nottoway,51135,12,Nottoway Couny
health_outcomes,per_low_birthweight,2016,Orange,51137,8,Orange Couny
health_outcomes,per_low_birthweight,2016,Page,51139,7,Page Couny
health_outcomes,per_low_birthweight,2016,Patrick,51141,9,Patrick Couny
health_outcomes,per_low_birthweight,2016,Pittsylvania,51143,8,Pittsylvania Couny
health_outcomes,per_low_birthweight,2016,Powhatan,51145,6,Powhatan Couny
health_outcomes,per_low_birthweight,2016,Prince Edward,51147,11,Prince Edward Couny
health_outcomes,per_low_birthweight,2016,Prince George,51149,8,Prince George Couny
health_outcomes,per_low_birthweight,2016,Prince William,51153,7,Prince William Couny
health_outcomes,per_low_birthweight,2016,Pulaski,51155,8,Pulaski Couny
health_outcomes,per_low_birthweight,2016,Rappahannock,51157,7,Rappahannock Couny
health_outcomes,per_low_birthweight,2016,Richmond,51159,10,Richmond Couny
health_outcomes,per_low_birthweight,2016,Roanoke,51161,7,Roanoke Couny
health_outcomes,per_low_birthweight,2016,Rockbridge,51163,7,Rockbridge Couny
health_outcomes,per_low_birthweight,2016,Rockingham,51165,6,Rockingham Couny
health_outcomes,per_low_birthweight,2016,Russell,51167,8,Russell Couny
health_outcomes,per_low_birthweight,2016,Scott,51169,9,Scott Couny
health_outcomes,per_low_birthweight,2016,Shenandoah,51171,7,Shenandoah Couny
health_outcomes,per_low_birthweight,2016,Smyth,51173,9,Smyth Couny
health_outcomes,per_low_birthweight,2016,Southampton,51175,10,Southampton Couny
health_outcomes,per_low_birthweight,2016,Spotsylvania,51177,7,Spotsylvania Couny
health_outcomes,per_low_birthweight,2016,Stafford,51179,7,Stafford Couny
health_outcomes,per_low_birthweight,2016,Surry,51181,9,Surry Couny
health_outcomes,per_low_birthweight,2016,Sussex,51183,12,Sussex Couny
health_outcomes,per_low_birthweight,2016,Tazewell,51185,10,Tazewell Couny
health_outcomes,per_low_birthweight,2016,Warren,51187,7,Warren Couny
health_outcomes,per_low_birthweight,2016,Washington,51191,9,Washington Couny
health_outcomes,per_low_birthweight,2016,Westmoreland,51193,10,Westmoreland Couny
health_outcomes,per_low_birthweight,2016,Wise,51195,9,Wise Couny
health_outcomes,per_low_birthweight,2016,Wythe,51197,8,Wythe Couny
health_outcomes,per_low_birthweight,2016,York,51199,6,York Couny
health_outcomes,per_low_birthweight,2016,Alexandria City,51510,7,Alexandria City
health_outcomes,per_low_birthweight,2016,Bristol City,51520,7,Bristol City
health_outcomes,per_low_birthweight,2016,Buena Vista City,51530,6,Buena Vista City
health_outcomes,per_low_birthweight,2016,Charlottesville City,51540,7,Charlottesville City
health_outcomes,per_low_birthweight,2016,Chesapeake City,51550,8,Chesapeake City
health_outcomes,per_low_birthweight,2016,Colonial Heights City,51570,11,Colonial Heights City
health_outcomes,per_low_birthweight,2016,Covington City,51580,20,Covington City
health_outcomes,per_low_birthweight,2016,Danville City,51590,11,Danville City
health_outcomes,per_low_birthweight,2016,Emporia City,51595,9,Emporia City
health_outcomes,per_low_birthweight,2016,Fairfax City,51600,8,Fairfax City
health_outcomes,per_low_birthweight,2016,Falls Church City,51610,7,Falls Church City
health_outcomes,per_low_birthweight,2016,Franklin City,51620,11,Franklin City
health_outcomes,per_low_birthweight,2016,Fredericksburg City,51630,8,Fredericksburg City
health_outcomes,per_low_birthweight,2016,Galax City,51640,10,Galax City
health_outcomes,per_low_birthweight,2016,Hampton City,51650,9,Hampton City
health_outcomes,per_low_birthweight,2016,Harrisonburg City,51660,7,Harrisonburg City
health_outcomes,per_low_birthweight,2016,Hopewell City,51670,12,Hopewell City
health_outcomes,per_low_birthweight,2016,Lexington City,51678,7,Lexington City
health_outcomes,per_low_birthweight,2016,Lynchburg City,51680,8,Lynchburg City
health_outcomes,per_low_birthweight,2016,Manassas City,51683,7,Manassas City
health_outcomes,per_low_birthweight,2016,Manassas Park City,51685,6,Manassas Park City
health_outcomes,per_low_birthweight,2016,Martinsville City,51690,13,Martinsville City
health_outcomes,per_low_birthweight,2016,Newport News City,51700,9,Newport News City
health_outcomes,per_low_birthweight,2016,Norfolk City,51710,10,Norfolk City
health_outcomes,per_low_birthweight,2016,Norton City,51720,6,Norton City
health_outcomes,per_low_birthweight,2016,Petersburg City,51730,13,Petersburg City
health_outcomes,per_low_birthweight,2016,Poquoson City,51735,6,Poquoson City
health_outcomes,per_low_birthweight,2016,Portsmouth City,51740,11,Portsmouth City
health_outcomes,per_low_birthweight,2016,Radford City,51750,9,Radford City
health_outcomes,per_low_birthweight,2016,Richmond City,51760,11,Richmond City
health_outcomes,per_low_birthweight,2016,Roanoke City,51770,10,Roanoke City
health_outcomes,per_low_birthweight,2016,Salem City,51775,8,Salem City
health_outcomes,per_low_birthweight,2016,Staunton City,51790,8,Staunton City
health_outcomes,per_low_birthweight,2016,Suffolk City,51800,9,Suffolk City
health_outcomes,per_low_birthweight,2016,Virginia Beach City,51810,8,Virginia Beach City
health_outcomes,per_low_birthweight,2016,Waynesboro City,51820,8,Waynesboro City
health_outcomes,per_low_birthweight,2016,Williamsburg City,51830,5,Williamsburg City
health_outcomes,per_low_birthweight,2016,Winchester City,51840,8,Winchester City
health_behaviors,per_adults_reporting_currently_smoking,2016,Accomack,51001,16,Accomack Couny
health_behaviors,per_adults_reporting_currently_smoking,2016,Albemarle,51003,12,Albemarle Couny
health_behaviors,per_adults_reporting_currently_smoking,2016,Alleghany,51005,16,Alleghany Couny
health_behaviors,per_adults_reporting_currently_smoking,2016,Amelia,51007,16,Amelia Couny
health_behaviors,per_adults_reporting_currently_smoking,2016,Amherst,51009,17,Amherst Couny
health_behaviors,per_adults_reporting_currently_smoking,2016,Appomattox,51011,17,Appomattox Couny
health_behaviors,per_adults_reporting_currently_smoking,2016,Arlington,51013,12,Arlington Couny
health_behaviors,per_adults_reporting_currently_smoking,2016,Augusta,51015,16,Augusta Couny
health_behaviors,per_adults_reporting_currently_smoking,2016,Bath,51017,16,Bath Couny
health_behaviors,per_adults_reporting_currently_smoking,2016,Bedford,51019,15,Bedford Couny
health_behaviors,per_adults_reporting_currently_smoking,2016,Bland,51021,15,Bland Couny
health_behaviors,per_adults_reporting_currently_smoking,2016,Botetourt,51023,14,Botetourt Couny
health_behaviors,per_adults_reporting_currently_smoking,2016,Brunswick,51025,19,Brunswick Couny
health_behaviors,per_adults_reporting_currently_smoking,2016,Buchanan,51027,20,Buchanan Couny
health_behaviors,per_adults_reporting_currently_smoking,2016,Buckingham,51029,20,Buckingham Couny
health_behaviors,per_adults_reporting_currently_smoking,2016,Campbell,51031,16,Campbell Couny
health_behaviors,per_adults_reporting_currently_smoking,2016,Caroline,51033,17,Caroline Couny
health_behaviors,per_adults_reporting_currently_smoking,2016,Carroll,51035,17,Carroll Couny
health_behaviors,per_adults_reporting_currently_smoking,2016,Charles City,51036,18,Charles City Couny
health_behaviors,per_adults_reporting_currently_smoking,2016,Charlotte,51037,20,Charlotte Couny
health_behaviors,per_adults_reporting_currently_smoking,2016,Chesterfield,51041,13,Chesterfield Couny
health_behaviors,per_adults_reporting_currently_smoking,2016,Clarke,51043,15,Clarke Couny
health_behaviors,per_adults_reporting_currently_smoking,2016,Craig,51045,17,Craig Couny
health_behaviors,per_adults_reporting_currently_smoking,2016,Culpeper,51047,17,Culpeper Couny
health_behaviors,per_adults_reporting_currently_smoking,2016,Cumberland,51049,19,Cumberland Couny
health_behaviors,per_adults_reporting_currently_smoking,2016,Dickenson,51051,20,Dickenson Couny
health_behaviors,per_adults_reporting_currently_smoking,2016,Dinwiddie,51053,17,Dinwiddie Couny
health_behaviors,per_adults_reporting_currently_smoking,2016,Essex,51057,17,Essex Couny
health_behaviors,per_adults_reporting_currently_smoking,2016,Fairfax,51059,10,Fairfax Couny
health_behaviors,per_adults_reporting_currently_smoking,2016,Fauquier,51061,14,Fauquier Couny
health_behaviors,per_adults_reporting_currently_smoking,2016,Floyd,51063,17,Floyd Couny
health_behaviors,per_adults_reporting_currently_smoking,2016,Fluvanna,51065,14,Fluvanna Couny
health_behaviors,per_adults_reporting_currently_smoking,2016,Franklin,51067,17,Franklin Couny
health_behaviors,per_adults_reporting_currently_smoking,2016,Frederick,51069,14,Frederick Couny
health_behaviors,per_adults_reporting_currently_smoking,2016,Giles,51071,15,Giles Couny
health_behaviors,per_adults_reporting_currently_smoking,2016,Gloucester,51073,15,Gloucester Couny
health_behaviors,per_adults_reporting_currently_smoking,2016,Goochland,51075,13,Goochland Couny
health_behaviors,per_adults_reporting_currently_smoking,2016,Grayson,51077,18,Grayson Couny
health_behaviors,per_adults_reporting_currently_smoking,2016,Greene,51079,17,Greene Couny
health_behaviors,per_adults_reporting_currently_smoking,2016,Greensville,51081,21,Greensville Couny
health_behaviors,per_adults_reporting_currently_smoking,2016,Halifax,51083,19,Halifax Couny
health_behaviors,per_adults_reporting_currently_smoking,2016,Hanover,51085,15,Hanover Couny
health_behaviors,per_adults_reporting_currently_smoking,2016,Henrico,51087,16,Henrico Couny
health_behaviors,per_adults_reporting_currently_smoking,2016,Henry,51089,19,Henry Couny
health_behaviors,per_adults_reporting_currently_smoking,2016,Highland,51091,15,Highland Couny
health_behaviors,per_adults_reporting_currently_smoking,2016,Isle of Wight,51093,15,Isle of Wight Couny
health_behaviors,per_adults_reporting_currently_smoking,2016,James City,51095,13,James City Couny
health_behaviors,per_adults_reporting_currently_smoking,2016,King and Queen,51097,18,King and Queen Couny
health_behaviors,per_adults_reporting_currently_smoking,2016,King George,51099,15,King George Couny
health_behaviors,per_adults_reporting_currently_smoking,2016,King William,51101,16,King William Couny
health_behaviors,per_adults_reporting_currently_smoking,2016,Lancaster,51103,13,Lancaster Couny
health_behaviors,per_adults_reporting_currently_smoking,2016,Lee,51105,22,Lee Couny
health_behaviors,per_adults_reporting_currently_smoking,2016,Loudoun,51107,11,Loudoun Couny
health_behaviors,per_adults_reporting_currently_smoking,2016,Louisa,51109,17,Louisa Couny
health_behaviors,per_adults_reporting_currently_smoking,2016,Lunenburg,51111,19,Lunenburg Couny
health_behaviors,per_adults_reporting_currently_smoking,2016,Madison,51113,17,Madison Couny
health_behaviors,per_adults_reporting_currently_smoking,2016,Mathews,51115,14,Mathews Couny
health_behaviors,per_adults_reporting_currently_smoking,2016,Mecklenburg,51117,19,Mecklenburg Couny
health_behaviors,per_adults_reporting_currently_smoking,2016,Middlesex,51119,15,Middlesex Couny
health_behaviors,per_adults_reporting_currently_smoking,2016,Montgomery,51121,18,Montgomery Couny
health_behaviors,per_adults_reporting_currently_smoking,2016,Nelson,51125,17,Nelson Couny
