,Category,Variable,Year,County,GEOID,Value,Central,,,Average,Region
4,neighborhood_and_built_environment,per_with_access_to_exercise_opportunities,2019,Amelia,51007,8,Central,,,50.7,Central
5,neighborhood_and_built_environment,per_with_access_to_exercise_opportunities,2019,Amherst,51009,54,Central,,,70.0,Northwest
6,neighborhood_and_built_environment,per_with_access_to_exercise_opportunities,2019,Appomattox,51011,55,Central,,,73.6,Northeast
10,neighborhood_and_built_environment,per_with_access_to_exercise_opportunities,2019,Bedford,51019,53,Central,,,66.1,Southeast
13,neighborhood_and_built_environment,per_with_access_to_exercise_opportunities,2019,Brunswick,51025,17,Central,,,74.2,Southwest
15,neighborhood_and_built_environment,per_with_access_to_exercise_opportunities,2019,Buckingham,51029,37,Central,,,,
16,neighborhood_and_built_environment,per_with_access_to_exercise_opportunities,2019,Campbell,51031,44,Central,,,,
20,neighborhood_and_built_environment,per_with_access_to_exercise_opportunities,2019,Charlotte,51037,21,Central,,,,
25,neighborhood_and_built_environment,per_with_access_to_exercise_opportunities,2019,Cumberland,51049,47,Central,,,,
33,neighborhood_and_built_environment,per_with_access_to_exercise_opportunities,2019,Franklin,51067,42,Central,,,,
41,neighborhood_and_built_environment,per_with_access_to_exercise_opportunities,2019,Halifax,51083,43,Central,,,,
44,neighborhood_and_built_environment,per_with_access_to_exercise_opportunities,2019,Henry,51089,40,Central,,,,
55,neighborhood_and_built_environment,per_with_access_to_exercise_opportunities,2019,Lunenburg,51111,57,Central,,,,
58,neighborhood_and_built_environment,per_with_access_to_exercise_opportunities,2019,Mecklenburg,51117,55,Central,,,,
65,neighborhood_and_built_environment,per_with_access_to_exercise_opportunities,2019,Nottoway,51135,63,Central,,,,
68,neighborhood_and_built_environment,per_with_access_to_exercise_opportunities,2019,Patrick,51141,46,Central,,,,
69,neighborhood_and_built_environment,per_with_access_to_exercise_opportunities,2019,Pittsylvania,51143,29,Central,,,,
71,neighborhood_and_built_environment,per_with_access_to_exercise_opportunities,2019,Prince Edward,51147,81,Central,,,,
103,neighborhood_and_built_environment,per_with_access_to_exercise_opportunities,2019,Danville City,51590,82,Central,,,,
114,neighborhood_and_built_environment,per_with_access_to_exercise_opportunities,2019,Lynchburg City,51680,95,Central,,,,
117,neighborhood_and_built_environment,per_with_access_to_exercise_opportunities,2019,Martinsville City,51690,95,Central,,,,
7,neighborhood_and_built_environment,per_with_access_to_exercise_opportunities,2019,Arlington,51013,100,Northeast,,,,
17,neighborhood_and_built_environment,per_with_access_to_exercise_opportunities,2019,Caroline,51033,46,Northeast,,,,
21,neighborhood_and_built_environment,per_with_access_to_exercise_opportunities,2019,Chesterfield,51041,75,Northeast,,,,
28,neighborhood_and_built_environment,per_with_access_to_exercise_opportunities,2019,Essex,51057,25,Northeast,,,,
29,neighborhood_and_built_environment,per_with_access_to_exercise_opportunities,2019,Fairfax,51059,100,Northeast,,,,
36,neighborhood_and_built_environment,per_with_access_to_exercise_opportunities,2019,Gloucester,51073,71,Northeast,,,,
37,neighborhood_and_built_environment,per_with_access_to_exercise_opportunities,2019,Goochland,51075,54,Northeast,,,,
42,neighborhood_and_built_environment,per_with_access_to_exercise_opportunities,2019,Hanover,51085,81,Northeast,,,,
43,neighborhood_and_built_environment,per_with_access_to_exercise_opportunities,2019,Henrico,51087,97,Northeast,,,,
48,neighborhood_and_built_environment,per_with_access_to_exercise_opportunities,2019,King and Queen,51097,15,Northeast,,,,
49,neighborhood_and_built_environment,per_with_access_to_exercise_opportunities,2019,King George,51099,71,Northeast,,,,
50,neighborhood_and_built_environment,per_with_access_to_exercise_opportunities,2019,King William,51101,53,Northeast,,,,
51,neighborhood_and_built_environment,per_with_access_to_exercise_opportunities,2019,Lancaster,51103,58,Northeast,,,,
53,neighborhood_and_built_environment,per_with_access_to_exercise_opportunities,2019,Loudoun,51107,92,Northeast,,,,
57,neighborhood_and_built_environment,per_with_access_to_exercise_opportunities,2019,Mathews,51115,52,Northeast,,,,
59,neighborhood_and_built_environment,per_with_access_to_exercise_opportunities,2019,Middlesex,51119,38,Northeast,,,,
64,neighborhood_and_built_environment,per_with_access_to_exercise_opportunities,2019,Northumberland,51133,44,Northeast,,,,
70,neighborhood_and_built_environment,per_with_access_to_exercise_opportunities,2019,Powhatan,51145,65,Northeast,,,,
73,neighborhood_and_built_environment,per_with_access_to_exercise_opportunities,2019,Prince William,51153,97,Northeast,,,,
76,neighborhood_and_built_environment,per_with_access_to_exercise_opportunities,2019,Richmond,51159,61,Northeast,,,,
85,neighborhood_and_built_environment,per_with_access_to_exercise_opportunities,2019,Spotsylvania,51177,75,Northeast,,,,
86,neighborhood_and_built_environment,per_with_access_to_exercise_opportunities,2019,Stafford,51179,78,Northeast,,,,
92,neighborhood_and_built_environment,per_with_access_to_exercise_opportunities,2019,Westmoreland,51193,43,Northeast,,,,
96,neighborhood_and_built_environment,per_with_access_to_exercise_opportunities,2019,Alexandria City,51510,100,Northeast,,,,
101,neighborhood_and_built_environment,per_with_access_to_exercise_opportunities,2019,Colonial Heights City,51570,99,Northeast,,,,
105,neighborhood_and_built_environment,per_with_access_to_exercise_opportunities,2019,Fairfax City,51600,100,Northeast,,,,
106,neighborhood_and_built_environment,per_with_access_to_exercise_opportunities,2019,Falls Church City,51610,100,Northeast,,,,
108,neighborhood_and_built_environment,per_with_access_to_exercise_opportunities,2019,Fredericksburg City,51630,100,Northeast,,,,
115,neighborhood_and_built_environment,per_with_access_to_exercise_opportunities,2019,Manassas City,51683,100,Northeast,,,,
116,neighborhood_and_built_environment,per_with_access_to_exercise_opportunities,2019,Manassas Park City,51685,100,Northeast,,,,
125,neighborhood_and_built_environment,per_with_access_to_exercise_opportunities,2019,Richmond City,51760,91,Northeast,,,,
2,neighborhood_and_built_environment,per_with_access_to_exercise_opportunities,2019,Albemarle,51003,77,Northwest,,,,
8,neighborhood_and_built_environment,per_with_access_to_exercise_opportunities,2019,Augusta,51015,51,Northwest,,,,
9,neighborhood_and_built_environment,per_with_access_to_exercise_opportunities,2019,Bath,51017,100,Northwest,,,,
22,neighborhood_and_built_environment,per_with_access_to_exercise_opportunities,2019,Clarke,51043,75,Northwest,,,,
24,neighborhood_and_built_environment,per_with_access_to_exercise_opportunities,2019,Culpeper,51047,67,Northwest,,,,
30,neighborhood_and_built_environment,per_with_access_to_exercise_opportunities,2019,Fauquier,51061,65,Northwest,,,,
32,neighborhood_and_built_environment,per_with_access_to_exercise_opportunities,2019,Fluvanna,51065,49,Northwest,,,,
34,neighborhood_and_built_environment,per_with_access_to_exercise_opportunities,2019,Frederick,51069,81,Northwest,,,,
39,neighborhood_and_built_environment,per_with_access_to_exercise_opportunities,2019,Greene,51079,39,Northwest,,,,
