"name1","name2","street1","street2","city","state","zip","zip4","county","phone","intake_prompt","intake1","intake2","website","latitude","longitude","type_facility","sa","dt","mm","dm","bum","db","rpn","bu","nxn","vtrl","meth","hh","noop","pain","nmoa","moa","ubn","otp","cbt","dbt","tele","saca","trc","smon","smpd","smop","hi","res","op","rs","rl","rd","od","omb","odt","oit","ort","hid","hit","ct","gh","psyh","vamc","tbg","ih","stg","lccg","ddf","stag","stmh","stdh","hla","jc","carf","ncqa","coa","hfap","np","sf","md","mc","si","pi","mi","fsa","ss","pa","ah","sp","co","gl","vet","adm","mf","cj","se","ad","pw","wn","mn","hv","trma","xa","dv","tay","nsc","adtx","bdtx","cdtx","mdtx","odtx","tgd","ico","gco","fco","mco","twfa","bia","cmi","moti","ang","mxm","crv","relp","bc","chld","yad","adlt","fem","male","du","duo","acc","acm","acu","baba","ccc","cmha","csaa","daut","dp","dsf","dvfp","eih","emp","haec","heoh","hivt","isc","itu","mhs","opc","sae","shg","smhd","ssa","ssd","stdt","ta","taec","tbs","cm","fpsy","hs","nrt","peer","stu","tcc","bsdm","nu","mu","bwn","bwon","ub","un","beri","pvtp","pvtn","sumh","inpe","rpe","pc","naut","nmaut","acma","pmat","auinpe","aurpe","aupc","dlc","mhiv","mhcv","lfxd","clnd","copsu","daof","mst","noe","ofd","rc","piec","mdet","voc","hav","hbv","audo","mmd","mpep","fed","sotp","dea","samf","mhpa","hbt","hct","tod","vapn","vapp","vppd","oudo","nx","fx","mws","f17","f19","f25","f28","f30","f31","f35","f36","f37","f4","f42","f43","f47","f66","f67","f70","f81","f92","n24","n40"
"Horizon Behavioral Health","Courtland Wellness","620 Court Street","","Lynchburg","VA","24504","","Lynchburg City","434-847-8050","","434-477-5000","","http://www.horizonbh.org","37.415727","-79.1454244","SU","1","","","","1","","","1","","","","","","","","1","","","1","","1","1","1","","1","","","1","1","","1","","","1","","1","1","","","","","","","","","","1","","1","1","","","","1","","","","","1","1","1","","1","1","1","","","1","","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","","","","","","","1","1","1","","1","1","1","1","1","1","1","1","","","","","1","1","","","1","","1","1","","1","1","1","1","","","1","","1","1","1","1","","1","","1","1","1","1","","","1","1","1","1","","1","","1","1","1","","1","","1","1","1","1","","","","1","","","1","","1","","","","","","","","","","1","","1","","1","1","","","","","","","","1","","","","","1","","1","1","","","","1","","","","1","","","","","","","","","","","","","","","","","","","",""
"Lynchburg Comprehensive Trt Center","Virginia Treatment Center LLC","4000 Murray Place","","Lynchburg","VA","24501","","Lynchburg City","434-439-3283","Intakes","434-439-3283 x1","877-941-3045","http://www.ctcprograms.com/location/lynchburg-comprehensive-treatment-center/","37.3831023","-79.1661848","SU","1","","1","","1","","1","1","1","","1","","","","","","","1","1","","1","1","","","1","","","","1","","","","","1","","","1","","","","","","","","","","","","1","1","","","","1","","","","","1","1","1","","1","","","","","1","","","","","","","","","","1","1","","","","","","","","","","","","","","1","1","","","1","","","1","1","1","","1","","","1","1","1","1","","","","","","1","","","1","1","1","","","","","","","","","","","1","1","","","1","1","","1","","1","1","","","","","","","","1","1","1","1","1","1","","1","","","","","","1","","","","","","","","","","","","","1","","1","1","","","","","","","","","","","","","","","","","","","","1","1","","","1","","","","","","","","","","","","","","","","","","","",""
"Pathways","Addiction and Recovery Services","3300 Rivermont Avenue","","Lynchburg","VA","24503","","Lynchburg City","434-200-4455","","","","http://www.centrahealth.com/_sites/www.recoveratpathways.com/","37.4378627","-79.1872903","SU","1","1","","","","1","1","1","1","1","","","","","","1","","","1","","","1","1","","1","","","1","1","1","","1","","","","1","","","","","1","","","","","","","","","","","","1","","","","","","1","1","","","1","","","","","","","","","","","","","","","","","","","","","","","1","1","","","","1","","1","1","1","1","1","1","","1","1","1","","1","","","1","1","1","1","","","1","1","1","1","","1","1","1","1","","","","","","","","1","","1","","1","","","1","","","","","","","","","1","","1","1","","1","","","1","1","","","","1","","1","1","1","","","1","1","1","","","","","","","1","","1","","","1","","","1","","","","","1","","","","","","1","","","","1","","","","","","1","","","","","","","","","","","","","","","","","","","",""
"Addiction Allies LLC","","2137 Lakeside Drive","Suite 103","Lynchburg","VA","24501","6948","Lynchburg City","434-400-9668","","434-400-9668 x1","","http://www.addictionallies.com","37.3989393","-79.2073548","SU","1","1","","","1","1","1","1","1","1","","","","","","","","","1","","1","1","1","","1","","","","1","","","","1","1","","1","1","","","","","","","","","","","","1","1","1","","","","","","","","1","1","1","","1","","","","","","","","","","","","","","","","","","","","","","","1","1","","","","1","1","1","1","1","1","","1","","1","1","","","1","","","1","1","1","1","","","1","1","","1","","1","1","1","1","1","","","1","1","1","1","1","","1","1","1","","1","1","","","","1","","1","","1","1","1","1","1","","1","","1","1","1","1","1","1","","1","","","","","","","1","","","1","1","","1","","1","","","","1","1","","","1","","","","","1","","","","","","","1","1","","","","1","","","","","","","","","","","","","","","","","","","","","","","",""
"Goochland Powhatan Community Services","Powhatan Village Building","3910 Old Buckingham Road","","Powhatan","VA","23139","","Powhatan","804-598-2200","","","804-556-5400","http://www.gpcsb.org","37.5446087","-77.9191114","SU","1","","","","","","","","1","1","","","","","","1","","","1","","1","1","1","","1","","","","1","","","","","1","","","1","","","","","","","","","","1","","1","1","","","","","","","","","1","1","1","1","1","1","1","1","1","1","","","","","","","","","","1","","","","","","","","1","","","","","","","1","1","1","","","1","1","1","","","","1","","","","","1","1","","","1","1","","1","","1","1","1","1","1","","","","1","1","","1","","1","1","1","","1","1","1","","1","1","","1","","1","","1","1","","","1","","","","","1","","","","1","","1","1","","","1","1","1","1","1","","","","1","1","","","1","1","","","","","","","","","1","","","","","1","","","","1","","","1","","","","","","","","","","","","","","","","","","","","","","","",""
"Region Ten Community Services Board","Mohr Center","1014 East Market Street","","Charlottesville","VA","22902","","Charlottesville City","434-972-1745","","434-972-1800","","http://www.regionten.org","38.0282239","-78.4725231","SU","1","","","","1","","1","1","1","1","","","","","","1","","","1","","1","1","1","1","","","","1","1","1","","","","","","1","1","","","","","","","","","1","","","1","1","","","","","","","","","1","1","1","1","1","1","1","1","1","1","","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","","","","","","","1","1","1","","1","1","1","1","1","1","","1","","","","","1","1","1","","1","","1","1","","1","1","1","1","","","","1","1","1","1","1","","1","1","1","1","1","1","1","1","1","1","1","1","","1","1","1","1","1","","1","","1","1","1","1","","","","1","1","1","1","","","1","1","1","1","1","","","","","1","1","","1","1","","","1","","","1","1","","1","","","","","1","","1","1","1","1","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Addiction Recovery Systems LLC","","103 South Pantops Drive","Suite 102","Charlottesville","VA","22911","","Albemarle","434-220-0080","","","","http://www.arshealth.com","38.031689","-78.4539246","SU","1","","1","","1","","","1","","","1","","","","","","","1","1","","1","1","","","1","","","","1","","","","","1","","","","","","","","","","","","","","","1","","1","","","1","","","","","1","1","1","","1","1","","","","","","1","1","1","","","","1","","1","1","1","1","1","","","","","","","","","","","1","1","","","","1","","1","","","","1","","","1","1","1","1","","","1","","","1","","","1","1","1","","","","1","1","1","1","","","","","1","","1","1","1","1","1","1","1","1","","1","","","1","1","","","1","1","","","","","1","","","","","","1","","","","","","","","","","","","","1","","1","1","","","","","1","","","","","","1","1","","1","","1","","","","1","1","","","1","","","","","","","","","","","","","","","","","","","",""
"Orchard Mountain Recovery","","355 Rio Road West","Suite 203","Charlottesville","VA","22901","","Albemarle","434-282-2294","","","","http://www.orchardmtnrecovery.com","38.0841846","-78.4872088","SU","1","","","","","","","","","","","","","","","1","","","1","","1","1","","","1","","","","1","","","","","","","1","","","","","","","","","","","","","1","","1","","","","","","","","1","1","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","1","","1","1","1","1","","","","1","","","1","1","1","1","1","","1","","","1","","","1","1","1","","","","1","","","","","","","","1","1","","1","","","","","","1","","","","","","","","","","","","","","","1","","","","","1","","","1","","","","1","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","",""
"Goochland Powhatan Community Services","","3058 River Road West","","Goochland","VA","23063","","Goochland","804-556-5400","","","804-598-2200","http://www.gpcsb.org","37.6917162","-77.8838438","SU","1","","","","","","","","1","1","","","","","","1","","","1","","1","1","1","","1","","","","1","","","","","1","","","1","","","","","","","","","","1","","1","1","","","","","","","","","1","1","1","1","1","1","1","1","1","1","","","","","","","","","","1","","","","","","","","1","","","","","","","1","1","1","","","1","1","1","","","","1","","","","","1","1","","","1","1","","1","","1","1","1","1","1","","","","1","1","","1","","1","1","1","","1","1","1","","1","1","","1","","1","","1","1","","","1","","","","","1","","","","1","","1","1","","","1","1","1","1","1","","","","1","1","","","1","1","","","","","","","","","1","","","","","1","","","","1","","","1","","","","","","","","","","","","","","","","","","","","","","","",""
"Addiction Allies LLC","","631 Berkmar Circle","","Charlottesville","VA","22901","1464","Albemarle","434-400-9668","","434-400-9668 x1","","http://www.addictionallies.com","38.0858606","-78.4790842","SU","1","1","","","1","1","1","1","1","1","","","","","","","","","1","","1","1","1","","1","","","","1","","","","1","1","1","1","1","","","","","","","","","","","","1","1","1","","","","","","","","1","1","1","","1","","1","","","","1","","","","","","","","","1","","","","","","","","1","1","","","","1","1","1","1","1","1","","1","","1","1","","","1","","","1","1","1","1","","","1","1","","1","","1","1","1","1","1","","","1","1","1","1","1","","1","1","1","","1","1","","","","1","","1","","1","1","1","1","1","","1","","1","1","1","1","1","1","","1","","","","","","","1","","","1","1","","1","","1","","1","","1","1","","","1","","","","","1","","","","","","","1","1","","","","1","","","","","","","","","","","","","","","","","","","","","","","",""
