County,Lat,Long
Accomack County,37.7659435,-75.7578073
Albemarle County,38.0241841,-78.5535056
Alexandria city,38.8192511,-77.0836695
Alleghany County,37.7879048,-80.008669
Amelia County,37.3319271,-77.9774619
Amherst County,37.6293036,-79.1546672
Appomattox County,37.3707253,-78.8109404
Arlington County,38.8783374,-77.1007034
Augusta County,38.1725895,-79.1409749
Bath County,38.0683679,-79.7312032
Bedford County,37.3122568,-79.5272234
Bland County,37.1306124,-81.1258532
Botetourt County,37.5654822,-79.7975457
Bristol city,36.6169541,-82.1575641
Brunswick County,36.7642043,-77.8614832
Buchanan County,37.2681198,-82.0381508
Buckingham County,37.573928,-78.5291687
Buena Vista city,37.7293448,-79.3581337
Campbell County,37.2101515,-79.0954282
Caroline County,38.0280328,-77.3537363
Carroll County,36.7319632,-80.7278307
Charles City County,37.3610537,-77.05417
Charlotte County,37.0090421,-78.6585682
Charlottesville city,38.0376579,-78.4853806
Chesapeake city,36.6793761,-76.3017884
Chesterfield County,37.3784338,-77.5858474
Clarke County,39.1153068,-77.9907479
Colonial Heights city,37.2616846,-77.3968043
Covington city,37.7810603,-79.9854337
Craig County,37.4736031,-80.2310507
Culpeper County,38.4859303,-77.9564758
Cumberland County,37.5201891,-78.2528364
Danville city,36.5833337,-79.4080707
Dickenson County,37.1367011,-82.3492199
Dinwiddie County,37.0734984,-77.6354922
Emporia city,36.696182,-77.5359753
Essex County,37.936389,-76.9337475
Fairfax city,38.8531833,-77.2990252
Fairfax County,38.8295203,-77.2732524
Falls Church city,38.884722,-77.1756027
Fauquier County,38.7440956,-77.8215005
Floyd County,36.9314331,-80.3502662
Fluvanna County,37.830584,-78.2834938
Franklin city,36.6840142,-76.9413956
Franklin County,36.9911862,-79.8827149
Frederick County,39.2036601,-78.2638291
Fredericksburg city,38.2992718,-77.4866583
Galax city,36.6656397,-80.9143083
Giles County,37.3180719,-80.698321
Gloucester County,37.4035413,-76.5235051
Goochland County,37.7188141,-77.9176263
Grayson County,36.6522288,-81.215324
Greene County,38.2979805,-78.4701629
Greensville County,36.6803363,-77.5602774
Halifax County,36.766461,-78.9396142
Hampton city,37.0479606,-76.2972931
Hanover County,37.7602149,-77.4913168
Harrisonburg city,38.4362547,-78.8733028
Henrico County,37.4375205,-77.300333
Henry County,36.6206119,-79.9806618
Highland County,38.3662431,-79.5644718
Hopewell city,37.2910098,-77.2989443
Isle of Wight County,36.9014184,-76.7075688
James City County,37.3248367,-76.7778878
King and Queen County,37.7177719,-76.9055814
King George County,38.2771799,-77.1626355
King William County,37.7082604,-77.0910539
Lancaster County,37.7048433,-76.4126628
Lee County,36.7017206,-83.1301117
Lexington city,37.7823316,-79.4443196
Loudoun County,39.0812,-77.6388976
Louisa County,37.9727041,-77.959795
Lunenburg County,36.9455547,-78.2405281
Lynchburg city,37.3990161,-79.1954582
Madison County,38.4120586,-78.2769614
Manassas city,38.7468077,-77.4826328
Manassas Park city,38.7693983,-77.442323
Martinsville city,36.6835269,-79.8636475
Mathews County,37.4253479,-76.2688078
Mecklenburg County,36.6872563,-78.3689592
Middlesex County,37.6069753,-76.5280819
Montgomery County,37.1755376,-80.3877942
Nelson County,37.7890795,-78.8834397
New Kent County,37.5101601,-76.9993305
Newport News city,37.0761357,-76.5219802
Norfolk city,36.9230149,-76.2446413
Northampton County,37.3027754,-75.9240177
Northumberland County,37.8569736,-76.3796872
Norton city,36.9315489,-82.625996
Nottoway County,37.1411668,-78.0538655
Orange County,38.2493265,-78.0110923
Page County,38.6232085,-78.4918718
Patrick County,36.6671385,-80.286413
Petersburg city,37.2047302,-77.3923681
Pittsylvania County,36.8217206,-79.3985019
Poquoson city,37.1283599,-76.3035337
Portsmouth city,36.8593388,-76.3569725
Powhatan County,37.5494041,-77.9128553
Prince Edward County,37.2248813,-78.4329574
Prince George County,37.1873255,-77.2209931
Prince William County,38.7011187,-77.4795791
Pulaski County,37.0633853,-80.7134439
Radford city,37.1201194,-80.5591473
Rappahannock County,38.6845215,-78.1688241
Richmond city,37.531399,-77.4760085
Richmond County,37.9428936,-76.7305609
Roanoke city,37.278458,-79.9581739
Roanoke County,37.330792,-80.1912371
Rockbridge County,37.8145174,-79.4477537
Rockingham County,38.5075848,-78.8853213
Russell County,36.9334198,-82.0959342
Salem city,37.2853329,-80.0552407
Scott County,36.7127756,-82.6136238
Shenandoah County,38.856204,-78.5739867
Smyth County,36.8423183,-81.5397861
Southampton County,36.7200678,-77.1038135
Spotsylvania County,38.1824314,-77.6572264
Stafford County,38.4230836,-77.4580475
Staunton city,38.1579778,-79.0618761
Suffolk city,36.6971573,-76.6347808
Surry County,37.1197611,-76.8801717
Sussex County,36.9266454,-77.2597319
Tazewell County,37.1253949,-81.5629237
Virginia Beach city,36.7795254,-76.0291418
Warren County,38.9082214,-78.207594
Washington County,36.7478138,-81.9503218
Waynesboro city,38.0671571,-78.9014197
Westmoreland County,38.109311,-76.8039326
Williamsburg city,37.269481,-76.7081925
Winchester city,39.1738688,-78.1763562
Wise County,36.9745607,-82.6215601
Wythe County,36.8998674,-81.0830007
York County,37.2209139,-76.395533
