"","Albemarle County","Amelia County","Amherst County","Arlington County","Bedford County","Chesapeake City","Fairfax County","Floyd County","Franklin County","Gloucester County","Greensville County","Henrico County","King George County","Lancaster County","Lee County","Loudoun County","Louisa County","Lynchburg City County","Mecklenburg County","Newport News City","Newport News City North","Orange County","Patrick County","Petersburg City","Pittsylvania County","Pulaski County","Richmond City","Roanoke County","Rockbridge County","Rockingham County","Spotsylvania County","Virginia Beach City","Virginia Beach City North","Warren County","Washington County","Northeast District Office"
"Accomack County",231.133333333333,217.6,277.366666666667,204.45,313.566666666667,104.666666666667,226.45,378.283333333333,357.816666666667,148.766666666667,178.183333333333,180.416666666667,224.933333333333,193.616666666667,523.633333333333,237.283333333333,221.35,294.1,233.083333333333,114.316666666667,117.833333333333,245.466666666667,357.766666666667,186.216666666667,314.95,380.066666666667,170.7,343.5,291.783333333333,281.666666666667,213.283333333333,106,82.75,268.133333333333,442.383333333333,180.166666666667
"Albemarle County",14.2833333333333,93.55,56.6666666666667,139.283333333333,97.1833333333333,171.616666666667,122.716666666667,158.283333333333,145.466666666667,130.516666666667,135.066666666667,72.4166666666667,121.016666666667,155.2,303.616666666667,136.05,42.9666666666667,75.3,141.583333333333,134.55,123.783333333333,51,188.633333333333,100.683333333333,116.6,160.05,78.3833333333333,123.5,71.7666666666667,61.65,82.4666666666667,174.533333333333,164.316666666667,103.366666666667,222.366666666667,66.1666666666667
"Alexandria city",131.216666666667,139.3,177.45,10,217.983333333333,188.966666666667,32.0166666666667,265.15,252.083333333333,147.866666666667,157.133333333333,97.2833333333333,75.5833333333333,141.316666666667,410.5,49.5166666666667,101.35,196.083333333333,185.433333333333,151.9,141.15,96.1833333333333,302.3,122.733333333333,237.383333333333,266.933333333333,100.45,230.366666666667,178.65,131.3,66.6333333333333,191.883333333333,181.683333333333,75.7833333333333,329.25,99.5
"Alleghany County",110.433333333333,182.15,97.6,222.416666666667,102.216666666667,267.75,202.933333333333,126.816666666667,113.75,226.65,231.2,168.55,217.15,251.35,271.083333333333,204.2,139.1,116.133333333333,201.333333333333,230.683333333333,219.916666666667,147.133333333333,163.983333333333,196.816666666667,151.816666666667,128.6,174.533333333333,92.0333333333333,58.6,103.066666666667,178.6,270.666666666667,260.466666666667,162.166666666667,190.916666666667,162.3
"Amelia County",83.85,10,87.3166666666667,138.316666666667,101.65,142.3,145.733333333333,187.116666666667,148.3,110.133333333333,81.7333333333333,56.9333333333333,107.75,138.066666666667,333.2,168.05,74.0666666666667,82.1833333333333,75.0833333333333,114.183333333333,103.416666666667,98.1833333333333,172.016666666667,50.6666666666667,114.516666666667,189.633333333333,54.25,143.833333333333,133.15,134.383333333333,96.1,154.15,143.95,168.1,251.95,52.85
"Amherst County",70.6666666666667,107.2,22.6666666666667,195.666666666667,64.2833333333333,228,180.05,135.283333333333,112.916666666667,186.9,171.8,128.8,177.4,211.583333333333,280.633333333333,193.383333333333,99.35,43.85,126.4,190.933333333333,180.166666666667,107.383333333333,157.2,151.533333333333,85.15,137.066666666667,134.766666666667,100.5,49.5833333333333,96.3833333333333,138.85,230.9,220.7,155.5,199.383333333333,122.533333333333
"Appomattox County",73.8833333333333,56.4166666666667,33.5833333333333,185.966666666667,47.9166666666667,188.216666666667,187.016666666667,133.383333333333,96.2,158.483333333333,121,105.283333333333,155.4,186.416666666667,279.466666666667,200.35,90.8666666666667,28.4666666666667,75.6,162.516666666667,151.766666666667,107.633333333333,136.35,100.216666666667,64.3166666666667,135.9,102.6,90.1166666666667,79.4333333333333,110.983333333333,130.366666666667,202.5,192.3,168.85,198.216666666667,99.3
"Arlington County",131.533333333333,142.083333333333,173.916666666667,10,214.433333333333,191.75,25.15,256.133333333333,243.066666666667,150.65,159.916666666667,100.066666666667,78.3666666666667,143.3,401.483333333333,39.8833333333333,104.133333333333,192.533333333333,188.216666666667,154.7,143.933333333333,96.1166666666667,293.283333333333,125.516666666667,233.85,257.916666666667,103.233333333333,221.35,169.633333333333,122.283333333333,69.4166666666667,194.666666666667,184.466666666667,66.7666666666667,320.233333333333,102.283333333333
"Augusta County",42.5333333333333,121.8,69.7166666666667,152.316666666667,98.8333333333333,199.85,132.816666666667,130.333333333333,117.266666666667,158.766666666667,163.316666666667,100.666666666667,149.266666666667,183.45,275.683333333333,134.1,71.2166666666667,88.3333333333333,169.816666666667,162.8,152.033333333333,79.25,167.5,128.916666666667,129.633333333333,132.116666666667,106.633333333333,95.5666666666667,43.8333333333333,32.95,110.716666666667,202.766666666667,192.566666666667,92.0666666666667,194.433333333333,94.4
"Bath County",95.5833333333333,174.85,96.9833333333333,206.916666666667,111.75,252.9,187.416666666667,136.35,123.283333333333,211.8,216.366666666667,153.7,202.3,236.5,281.7,188.7,124.25,115.5,200.7,215.85,205.083333333333,132.283333333333,173.5,181.966666666667,159.466666666667,138.133333333333,159.683333333333,101.566666666667,57.9666666666667,88.2166666666667,163.75,255.816666666667,245.616666666667,146.666666666667,200.45,147.45
"Bedford County",95.4666666666667,105.583333333333,48.2166666666667,220.466666666667,10,237.383333333333,204.833333333333,94.2166666666667,53.3833333333333,207.666666666667,170.166666666667,153.583333333333,202.183333333333,235.583333333333,240.666666666667,215.116666666667,124.133333333333,37.5166666666667,123.116666666667,211.7,200.933333333333,132.183333333333,106.283333333333,149.383333333333,52.5,97.1,151.766666666667,51.3166666666667,67.7,113.983333333333,163.65,251.666666666667,241.466666666667,173.083333333333,159.416666666667,147.333333333333
"Bland County",179.566666666667,217.5,160.133333333333,291.55,121.833333333333,336.883333333333,272.066666666667,75.5166666666667,118.783333333333,295.8,272.366666666667,237.7,286.3,320.483333333333,150.516666666667,273.35,208.25,149.433333333333,214.733333333333,299.833333333333,289.066666666667,216.283333333333,88.5166666666667,261.3,157.816666666667,40.1833333333333,243.666666666667,95.4833333333333,125.916666666667,172.2,247.75,339.8,329.6,231.316666666667,69.2666666666667,231.433333333333
