"","Albemarle County","Amelia County","Amherst County","Arlington County","Bedford County","Chesapeake City","Fairfax County","Floyd County","Franklin County","Gloucester County","Greensville County","Henrico County","King George County","Lancaster County","Lee County","Loudoun County","Louisa County","Lynchburg City County","Mecklenburg County","Newport News City","Newport News City North","Orange County","Patrick County","Petersburg City","Pittsylvania County","Pulaski County","Richmond City","Roanoke County","Rockbridge County","Rockingham County","Spotsylvania County","Virginia Beach City","Virginia Beach City North","Warren County","Washington County","Northeast District Office"
"Accomack County",380614,334476,456520,305340,488918,142070,340680,636250,506040,199038,257271,279266,356629,254343,881826,362531,356989,455058,342395,158222,170734,386807,537752,257336,451479,643835,264250,576561,486195,470074,340627,133360,113674,418243,762414,282345
"Albemarle County",9270,128536,79405,186958,144947,293477,162480,259541,204285,215530,227161,113965,145595,234699,505118,172534,59583,109068,187098,234050,219733,57026,275148,160714,177105,267126,124791,199852,109486,93365,107562,292299,278120,125006,385705,107514
"Alexandria city",179952,220729,255858,2673,321400,325119,37486,457811,430011,247172,268470,157732,107769,178367,703387,70023,139776,285521,320729,265692,251375,131699,499275,202024,353558,465396,166100,398122,307756,222411,93567,323941,309762,115034,583975,167218
"Alleghany County",175847,262718,126303,376405,125340,460054,342614,173008,145207,382108,393739,280542,312173,401277,371777,333400,226161,149599,273957,400628,386311,223604,214471,327292,193312,180593,291368,113319,74040,160005,274139,458876,444697,265665,299171,274092
"Amelia County",122804,1309,138583,223680,156231,195053,224117,267141,203237,164467,108171,73183,158970,196756,530918,272978,99179,122371,100367,182987,168670,128998,266443,58243,172220,292927,69734,211127,191471,212265,142968,241236,227057,215846,411506,73042
"Amherst County",91705,156681,20266,269393,70443,375912,246385,193784,129786,297966,244614,196400,228030,317135,439361,256439,142018,51669,167920,316486,302168,139462,217749,207096,119706,201369,207226,134095,47454,134375,189997,374734,360555,240035,319948,189949
"Appomattox County",99084,88439,52387,300013,70035,282784,251685,180946,129373,248391,176371,157107,235303,280679,444723,261739,120169,36175,99678,266911,252594,138968,190533,152111,92490,206732,153658,124931,105276,158138,168148,325159,310980,223157,325310,143698
"Arlington County",186258,227300,256394,7776,321936,331690,26606,446919,419118,253743,275041,164303,114340,207859,692495,54566,146347,286057,327299,272263,257946,135936,488382,208595,354093,454504,172671,387230,296864,211519,100138,330512,316333,104141,573082,173789
"Augusta County",67739,187005,101877,262280,133819,351946,228489,215061,187261,273999,285630,172434,204064,293168,460638,219275,118052,131540,245567,292519,278202,115495,256525,219183,199577,222646,183260,155372,65006,45880,166031,350768,336589,151540,341225,165983
"Bath County",138589,257856,122847,335700,145171,422796,301909,192839,165038,344850,356481,243284,274915,364019,438415,292695,188903,146143,270501,363370,349053,186346,234302,290034,222286,200424,254110,133150,70584,110720,236881,421618,407439,224960,319002,236834
"Bedford County",145534,158228,69025,323223,4280,352573,300215,112369,59387,318180,246161,250229,281860,350469,377831,336916,195848,46185,152866,336700,322383,193291,130815,221901,68489,139840,223447,58039,76904,163521,243826,394949,380770,269181,258418,243779
"Bland County",315883,343603,254399,516440,191672,600090,482650,113674,187908,522144,463641,420578,452208,541313,234543,473436,366196,231560,323320,540664,526346,363640,126725,407275,238979,58462,431404,144210,213424,300041,414175,598912,584733,405701,115130,414127
"Botetourt County",156048,202496,98223,356606,50672,440255,322815,120992,93192,362309,290429,260743,292374,381478,366569,313601,206362,79382,197134,380829,366511,203805,162456,307493,117693,128577,271569,61303,53589,140206,254340,439077,424898,245866,247156,254293
"Bristol city",403069,430789,341585,603626,278857,687276,569835,200859,275094,609329,550827,507764,539394,628498,103792,560621,453382,318746,410506,627849,613532,450825,213911,494461,326164,145648,518590,231396,300609,387226,501361,686098,671919,492886,21877,501313
"Brunswick County",229656,77769,188253,278264,205901,166280,278700,291673,224519,198811,34203,128308,213554,231100,626464,327562,206031,172041,63430,183157,203014,235850,258786,80013,169958,342597,115749,260797,241141,319116,197552,181558,176937,316767,507051,131387
"Buchanan County",450670,478390,389186,651227,326459,734877,617437,248461,322695,656930,598428,555365,586995,676100,170256,608223,500983,366347,458107,675451,661133,498426,261512,542062,373766,193249,566191,278997,348210,434828,548962,733699,719520,540487,99433,548914
"Buckingham County",62311,73011,56627,229853,109511,288828,223857,220422,168849,210881,172360,117726,202881,238461,484199,233911,84114,75651,121735,229401,215084,102912,230009,137739,131965,246207,118611,164407,109516,151771,132092,287650,273471,186383,364786,111276
"Buena Vista city",114806,181045,44629,315363,63941,399013,281573,158373,130573,321066,268977,219501,251131,340236,403950,272359,165119,65837,192283,339587,325269,162563,199837,266251,128637,165958,230327,98684,12043,98964,213098,397835,383656,204623,284537,213050
