County,Central,Northeast,Northwest,Southeast,Southwest
Accomack County,0,0,0,1,0
Alexandria City,0,1,0,0,0
Alleghany County,0,0,0,0,1
Appomattox County,1,0,0,0,0
Augusta County,0,0,1,0,0
Bath County,0,0,1,0,0
Bland County,0,0,0,0,1
Botetourt County,0,0,0,0,1
Brunswick County,1,0,0,0,0
Buchanan County,0,0,0,0,1
Buckingham County,1,0,0,0,0
Campbell County,1,0,0,0,0
Caroline County,0,1,0,0,0
Carroll County,0,0,0,0,1
Charles City County,0,0,0,1,0
Charlotte County,1,0,0,0,0
Chesterfield County,0,1,0,0,0
Clarke County,0,0,1,0,0
Craig County,0,0,0,0,1
Culpeper County,0,0,1,0,0
Cumberland County,1,0,0,0,0
Danville City,1,0,0,0,0
Dickenson County,0,0,0,0,1
Dinwiddie County,0,0,0,1,0
Essex County,0,1,0,0,0
Fairfax City,0,1,0,0,0
Fauquier County,0,0,1,0,0
Fluvanna County,0,0,1,0,0
Franklin City,0,0,0,1,0
Frederick County,0,0,1,0,0
Giles County,0,0,0,0,1
Goochland County,0,1,0,0,0
Grayson County,0,0,0,0,1
Greene County,0,0,1,0,0
Halifax County,1,0,0,0,0
Hampton City,0,0,0,1,0
Hanover County,0,1,0,0,0
Henry County,1,0,0,0,0
Highland County,0,0,1,0,0
Isle of Wight County,0,0,0,1,0
James City County,0,0,0,1,0
King and Queen County,0,1,0,0,0
King William County,0,1,0,0,0
Lunenburg County,1,0,0,0,0
Madison County,0,0,1,0,0
Mathews County,0,1,0,0,0
Middlesex County,0,1,0,0,0
Montgomery County,0,0,0,0,1
Nelson County,0,0,1,0,0
New Kent County,0,0,0,1,0
Norfolk City,0,0,0,1,0
Northampton County,0,0,0,1,0
Northumberland County,0,1,0,0,0
Nottoway County,1,0,0,0,0
Page County,0,0,1,0,0
Powhatan County,0,1,0,0,0
Prince Edward County,1,0,0,0,0
Prince George County,0,0,0,1,0
Prince William County,0,1,0,0,0
Rappahannock County,0,0,1,0,0
Richmond County,0,1,0,0,0
Russell County,0,0,0,0,1
Scott County,0,0,0,0,1
Shenandoah County,0,0,1,0,0
Smyth County,0,0,0,0,1
Southampton County,0,0,0,1,0
Stafford County,0,1,0,0,0
Suffolk City,0,0,0,1,0
Surry County,0,0,0,1,0
Sussex County,0,0,0,1,0
Tazewell County,0,0,0,0,1
Westmoreland County,0,1,0,0,0
Wise County,0,0,0,0,1
Wythe County,0,0,0,0,1
York County,0,0,0,1,0
