Category,Variable,Year,County,FIPS,Value
health_outcomes,per_low_birthweight,2016,Accomack County,51001,10
health_outcomes,per_low_birthweight,2016,Albemarle County,51003,6
health_outcomes,per_low_birthweight,2016,Alleghany County,51005,8
health_outcomes,per_low_birthweight,2016,Amelia County,51007,7
health_outcomes,per_low_birthweight,2016,Amherst County,51009,7
health_outcomes,per_low_birthweight,2016,Appomattox County,51011,9
health_outcomes,per_low_birthweight,2016,Arlington County,51013,7
health_outcomes,per_low_birthweight,2016,Augusta County,51015,7
health_outcomes,per_low_birthweight,2016,Bath County,51017,6
health_outcomes,per_low_birthweight,2016,Bedford County,51019,7
health_outcomes,per_low_birthweight,2016,Bland County,51021,7
health_outcomes,per_low_birthweight,2016,Botetourt County,51023,7
health_outcomes,per_low_birthweight,2016,Brunswick County,51025,11
health_outcomes,per_low_birthweight,2016,Buchanan County,51027,9
health_outcomes,per_low_birthweight,2016,Buckingham County,51029,10
health_outcomes,per_low_birthweight,2016,Campbell County,51031,7
health_outcomes,per_low_birthweight,2016,Caroline County,51033,9
health_outcomes,per_low_birthweight,2016,Carroll County,51035,7
health_outcomes,per_low_birthweight,2016,Charles City County,51036,11
health_outcomes,per_low_birthweight,2016,Charlotte County,51037,11
health_outcomes,per_low_birthweight,2016,Chesterfield County,51041,8
health_outcomes,per_low_birthweight,2016,Clarke County,51043,7
health_outcomes,per_low_birthweight,2016,Craig County,51045,10
health_outcomes,per_low_birthweight,2016,Culpeper County,51047,7
health_outcomes,per_low_birthweight,2016,Cumberland County,51049,11
health_outcomes,per_low_birthweight,2016,Dickenson County,51051,9
health_outcomes,per_low_birthweight,2016,Dinwiddie County,51053,9
health_outcomes,per_low_birthweight,2016,Essex County,51057,11
health_outcomes,per_low_birthweight,2016,Fairfax County,51059,7
health_outcomes,per_low_birthweight,2016,Fauquier County,51061,6
health_outcomes,per_low_birthweight,2016,Floyd County,51063,7
health_outcomes,per_low_birthweight,2016,Fluvanna County,51065,7
health_outcomes,per_low_birthweight,2016,Franklin County,51067,8
health_outcomes,per_low_birthweight,2016,Frederick County,51069,7
health_outcomes,per_low_birthweight,2016,Giles County,51071,10
health_outcomes,per_low_birthweight,2016,Gloucester County,51073,8
health_outcomes,per_low_birthweight,2016,Goochland County,51075,6
health_outcomes,per_low_birthweight,2016,Grayson County,51077,7
health_outcomes,per_low_birthweight,2016,Greene County,51079,7
health_outcomes,per_low_birthweight,2016,Greensville County,51081,13
health_outcomes,per_low_birthweight,2016,Halifax County,51083,10
health_outcomes,per_low_birthweight,2016,Hanover County,51085,7
health_outcomes,per_low_birthweight,2016,Henrico County,51087,8
health_outcomes,per_low_birthweight,2016,Henry County,51089,9
health_outcomes,per_low_birthweight,2016,Highland County,51091,
health_outcomes,per_low_birthweight,2016,Isle of Wight County,51093,7
health_outcomes,per_low_birthweight,2016,James City County,51095,7
health_outcomes,per_low_birthweight,2016,King and Queen County,51097,9
health_outcomes,per_low_birthweight,2016,King George County,51099,8
health_outcomes,per_low_birthweight,2016,King William County,51101,8
health_outcomes,per_low_birthweight,2016,Lancaster County,51103,11
health_outcomes,per_low_birthweight,2016,Lee County,51105,10
health_outcomes,per_low_birthweight,2016,Loudoun County,51107,6
health_outcomes,per_low_birthweight,2016,Louisa County,51109,8
health_outcomes,per_low_birthweight,2016,Lunenburg County,51111,15
health_outcomes,per_low_birthweight,2016,Madison County,51113,7
health_outcomes,per_low_birthweight,2016,Mathews County,51115,9
health_outcomes,per_low_birthweight,2016,Mecklenburg County,51117,11
health_outcomes,per_low_birthweight,2016,Middlesex County,51119,10
health_outcomes,per_low_birthweight,2016,Montgomery County,51121,7
health_outcomes,per_low_birthweight,2016,Nelson County,51125,6
health_outcomes,per_low_birthweight,2016,New Kent County,51127,7
health_outcomes,per_low_birthweight,2016,Northampton County,51131,9
health_outcomes,per_low_birthweight,2016,Northumberland County,51133,12
health_outcomes,per_low_birthweight,2016,Nottoway County,51135,12
health_outcomes,per_low_birthweight,2016,Orange County,51137,8
health_outcomes,per_low_birthweight,2016,Page County,51139,7
health_outcomes,per_low_birthweight,2016,Patrick County,51141,9
health_outcomes,per_low_birthweight,2016,Pittsylvania County,51143,8
health_outcomes,per_low_birthweight,2016,Powhatan County,51145,6
health_outcomes,per_low_birthweight,2016,Prince Edward County,51147,11
health_outcomes,per_low_birthweight,2016,Prince George County,51149,8
health_outcomes,per_low_birthweight,2016,Prince William County,51153,7
health_outcomes,per_low_birthweight,2016,Pulaski County,51155,8
health_outcomes,per_low_birthweight,2016,Rappahannock County,51157,7
health_outcomes,per_low_birthweight,2016,Richmond County,51159,10
health_outcomes,per_low_birthweight,2016,Roanoke County,51161,7
health_outcomes,per_low_birthweight,2016,Rockbridge County,51163,7
health_outcomes,per_low_birthweight,2016,Rockingham County,51165,6
health_outcomes,per_low_birthweight,2016,Russell County,51167,8
health_outcomes,per_low_birthweight,2016,Scott County,51169,9
health_outcomes,per_low_birthweight,2016,Shenandoah County,51171,7
health_outcomes,per_low_birthweight,2016,Smyth County,51173,9
health_outcomes,per_low_birthweight,2016,Southampton County,51175,10
health_outcomes,per_low_birthweight,2016,Spotsylvania County,51177,7
health_outcomes,per_low_birthweight,2016,Stafford County,51179,7
health_outcomes,per_low_birthweight,2016,Surry County,51181,9
health_outcomes,per_low_birthweight,2016,Sussex County,51183,12
health_outcomes,per_low_birthweight,2016,Tazewell County,51185,10
health_outcomes,per_low_birthweight,2016,Warren County,51187,7
health_outcomes,per_low_birthweight,2016,Washington County,51191,9
health_outcomes,per_low_birthweight,2016,Westmoreland County,51193,10
health_outcomes,per_low_birthweight,2016,Wise County,51195,9
health_outcomes,per_low_birthweight,2016,Wythe County,51197,8
health_outcomes,per_low_birthweight,2016,York County,51199,6
