County,Lat,Long
Accomack County,37.71701547,-75.67514895
Alexandria City,38.79731663,-77.05364727
Alleghany County,37.78943758,-79.88194116
Appomattox County,37.35605102,-78.83049809
Augusta County,38.19474707,-79.01430136
Bath County,38.04636495,-79.78948179
Bland County,37.1021028,-81.12150366
Botetourt County,37.49947131,-79.87845956
Brunswick County,36.75887464,-77.8462769
Buchanan County,37.29694488,-82.04901476
Buckingham County,37.55191318,-78.55169919
Campbell County,37.27500423,-79.09943226
Caroline County,38.05082714,-77.34636069
Carroll County,36.75789447,-80.73363242
Charles City County,37.34054899,-77.07563272
Charlotte County,37.05514152,-78.63679577
Chesterfield County,37.38230438,-77.51292144
Clarke County,39.15639522,-78.00352587
Craig County,37.52170207,-80.08043733
Culpeper County,38.39805036,-78.07088973
Cumberland County,37.49686704,-78.24518623
Danville City,36.55766062,-79.41169442
Dickenson County,37.1483251,-82.45673722
Dinwiddie County,37.08004772,-77.58380189
Essex County,37.93067741,-76.86137257
Fairfax City,38.85550433,-77.36350896
Fauquier County,38.7142541,-77.79859744
Fluvanna County,37.77415462,-78.25243252
Franklin City,36.99561192,-79.88757403
Frederick County,39.18475796,-78.16263033
Giles County,37.32696033,-80.73449862
Goochland County,37.74668051,-77.92789169
Grayson County,36.62326935,-81.15132832
Greene County,38.28627042,-78.41927441
Halifax County,36.76430588,-78.9277376
Hampton City,37.03784028,-76.39009856
Hanover County,37.75537462,-77.43364107
Henry County,36.74277539,-79.89299193
Highland County,38.41020186,-79.58602079
Isle of Wight County,36.90992573,-76.70879324
James City County,37.38170528,-76.80777332
King and Queen County,37.68888258,-77.01257013
King William County,37.68888258,-77.01264523
Lunenburg County,36.96018075,-78.11759852
Madison County,38.3830754,-78.25933998
Mathews County,37.44269803,-76.32336163
Middlesex County,37.60658177,-76.59256208
Montgomery County,37.13116357,-80.39288022
Nelson County,37.75037423,-78.87976263
New Kent County,37.51546719,-76.98095946
Norfolk City,36.85878497,-76.30480073
Northampton County,37.3537436,-75.94615696
Northumberland County,37.91582288,-76.47010243
Nottoway County,37.1299052,-78.07831212
Page County,38.57542185,-78.50809445
Powhatan County,37.54463513,-77.91916842
Prince Edward County,37.26374397,-78.41156003
Prince George County,37.22566169,-77.28753198
Prince William County,38.78854275,-77.51961869
Rappahannock County,38.71446865,-78.15943621
Richmond County,37.96463048,-76.75451812
Russell County,36.90427891,-82.06904378
Scott County,36.63670724,-82.66680859
Shenandoah County,38.88890169,-78.49891833
Smyth County,36.8334753,-81.51338006
Southampton County,36.72891545,-77.07353605
Stafford County,38.40476551,-77.42000932
Suffolk City,36.73232016,-76.58962559
Surry County,37.14230852,-76.84053415
Sussex County,37.03467562,-77.08897939
Tazewell County,37.13367198,-81.49967099
Westmoreland County,38.078016,-76.78216965
Wise County,36.97946303,-82.57068418
Wythe County,36.96195437,-81.10955471
York County,37.15859626,-76.46179806
