"a_long","c_long","d_long","p_long","z_long"
"Albemarle County","Accomack County","231.133333333333","32238","3.39612595537703"
"Albemarle County","Albemarle County","14.2833333333333","110652","-7.84191772208181"
"Albemarle County","Alexandria City","131.216666666667","158726","-6.30034068123869"
"Albemarle County","Alleghany County","110.433333333333","14701","0.324740003412742"
"Albemarle County","Amelia County","83.85","13014","-1.22762716473137"
"Albemarle County","Amherst County","70.6666666666667","31667","-0.732039470329303"
"Albemarle County","Appomattox County","73.8833333333333","16043","0.561153312003499"
"Albemarle County","Arlington County","131.533333333333","240119","-7.90384938773655"
"Albemarle County","Augusta County","42.5333333333333","76544","-3.30126184162247"
"Albemarle County","Bath County","95.5833333333333","4119","1.15266005725405"
"Albemarle County","Bedford County","95.4666666666667","79811","-4.84131905829588"
"Albemarle County","Bland County","179.566666666667","6239","-0.243787574281156"
"Albemarle County","Botetourt County","99.55","33633","-4.14267266955304"
"Albemarle County","Bristol City","226.083333333333","17329","3.3260133454179"
"Albemarle County","Brunswick County","130.466666666667","16037","7.2587591993391"
"Albemarle County","Buchanan County","280.666666666667","20613","6.11642033670675"
"Albemarle County","Buckingham County","47.8833333333333","17168","4.65694212588081"
"Albemarle County","Buena Vista City","68.75","6402","1.89739192225128"
"Albemarle County","Campbell County","83.05","55304","0.764212006344277"
"Albemarle County","Caroline County","88.4666666666667","30860","-0.32364234539319"
"Albemarle County","Carroll County","179.85","30074","-0.133617837258552"
"Albemarle County","Charles City County","98.6333333333333","6821","3.58257854823261"
"Albemarle County","Charlotte County","111.733333333333","11820","5.74707621387284"
"Albemarle County","Charlottesville City","11.5666666666667","46950","-1.87727557002149"
"Albemarle County","Chesapeake City","169.783333333333","247011","-1.0595185878668"
"Albemarle County","Chesterfield County","82.4166666666667","358245","-2.63832548244069"
"Albemarle County","Clarke County","130.833333333333","14622","-5.61518506658511"
"Albemarle County","Colonial Heights City","85.5333333333333","17205","-0.0399689678555252"
"Albemarle County","Covington City","96.8333333333333","5639","2.05988734512925"
"Albemarle County","Craig County","141.4","5077","-2.76228931775429"
"Albemarle County","Culpeper County","64.0666666666667","53569","-2.34807621863396"
"Albemarle County","Cumberland County","67.8","9933","0.740472926702771"
"Albemarle County","Danville City","137.433333333333","39869","9.12199938353551"
"Albemarle County","Dickenson County","293.966666666667","14078","4.11185030362669"
"Albemarle County","Dinwiddie County","105.433333333333","28688","1.46437821925682"
"Albemarle County","Emporia City","123.9","5257","11.4527468003195"
"Albemarle County","Essex County","111.883333333333","10943","5.87967758137395"
"Albemarle County","Fairfax City","122.35","23429","-6.83315822937152"
"Albemarle County","Fairfax County","127.533333333333","1150847","-9.1208598182405"
"Albemarle County","Falls Church City","126.666666666667","14631","-10.4848398887517"
"Albemarle County","Fauquier County","92.3666666666667","71361","-6.37556030078508"
"Albemarle County","Floyd County","152.9","15777","-2.51466497132882"
"Albemarle County","Fluvanna County","31.8","27422","-4.66199944359661"
"Albemarle County","Franklin City","142.2","7833","6.97390499918287"
"Albemarle County","Franklin County","139.483333333333","56167","-0.726644406678808"
"Albemarle County","Frederick County","121.316666666667","91119","-3.8634316233834"
"Albemarle County","Fredericksburg City","85.8","29492","-1.19621328518481"
"Albemarle County","Galax City","190.583333333333","6296","6.29186471192523"
"Albemarle County","Giles County","158.733333333333","16663","-1.23248040663311"
"Albemarle County","Gloucester County","127.833333333333","37459","-3.5861160417787"
"Albemarle County","Goochland County","44","24431","-6.66656947667666"
"Albemarle County","Grayson County","208.816666666667","15493","1.59828703592093"
"Albemarle County","Greene County","39.2666666666667","20131","-2.81916492130967"
"Albemarle County","Greensville County","120.85","11280","5.61898337139294"
"Albemarle County","Halifax County","126.966666666667","33633","4.43014435189853"
"Albemarle County","Hampton City","136.566666666667","135464","2.65389191697046"
"Albemarle County","Hanover County","65.8666666666667","108262","-5.47967119188567"
"Albemarle County","Harrisonburg City","57.2","53204","1.95296579197306"
"Albemarle County","Henrico County","80.7333333333333","333766","-2.56386577497915"
"Albemarle County","Henry County","162.283333333333","50309","3.95829573713797"
"Albemarle County","Highland County","111.6","2200","-2.54497993723939"
"Albemarle County","Hopewell City","91.6666666666667","22375","10.1616156639051"
"Albemarle County","Isle of Wight County","141.416666666667","37725","-2.06903799266194"
"Albemarle County","James City County","109.183333333333","77612","-5.09433846837184"
"Albemarle County","King and Queen County","110.066666666667","6942","-0.272921717573157"
"Albemarle County","King George County","111.1","27381","-3.68431482888174"
"Albemarle County","King William County","90.1","17641","-3.33773178326838"
"Albemarle County","Lancaster County","143.183333333333","10618","1.55308861289248"
"Albemarle County","Lee County","301.533333333333","23238","5.83890193490443"
"Albemarle County","Lexington City","65.65","7279","-1.84080562837558"
"Albemarle County","Loudoun County","131.25","422784","-8.47217414523283"
"Albemarle County","Louisa County","38.1166666666667","38132","-1.77878872885521"
"Albemarle County","Lunenburg County","115.883333333333","12267","6.36177450168675"
"Albemarle County","Lynchburg City","74.2833333333333","81561","-0.379301448980595"
"Albemarle County","Madison County","49.2833333333333","13312","-2.31084636490319"
"Albemarle County","Manassas City","104.85","40869","-2.58178888043645"
"Albemarle County","Manassas Park City","113.55","18004","-1.00450181003226"
"Albemarle County","Martinsville City","150.066666666667","12355","8.87209530085549"
"Albemarle County","Mathews County","145.983333333333","8766","-2.83598911313097"
"Albemarle County","Mecklenburg County","133.3","30679","2.88856731105541"
"Albemarle County","Middlesex County","124.433333333333","10569","-2.01831736484191"
"Albemarle County","Montgomery County","133.883333333333","98391","-1.47601142324168"
"Albemarle County","Nelson County","39.8333333333333","14755","-2.24911751944606"
"Albemarle County","New Kent County","92.8833333333333","23648","-4.68573852323811"
"Albemarle County","Newport News City","130.033333333333","179062","2.85037472504218"
"Albemarle County","Norfolk City","144.666666666667","242803","2.90109535286221"
"Albemarle County","Northampton County","192.55","11673","3.87650023132251"
"Albemarle County","Northumberland County","154.05","12069","0.742752662957329"
"Albemarle County","Norton City","275.35","3985","6.14167924051796"
"Albemarle County","Nottoway County","104.35","15160","4.91224127221133"
"Albemarle County","Orange County","46.7333333333333","37695","-2.27285659908757"
"Albemarle County","Page County","86.5333333333333","23933","0.083691543256342"
"Albemarle County","Patrick County","187.4","17493","-0.448366092791639"
"Albemarle County","Petersburg City","89.6","30446","11.2479654616114"
"Albemarle County","Pittsylvania County","114.65","59850","1.89739192225128"
"Albemarle County","Poquoson City","138.583333333333","12257","-7.44777128331981"
"Albemarle County","Portsmouth City","145.3","95094","6.69486677321085"
"Albemarle County","Powhatan County","63.9666666666667","30148","-6.17174169435945"
"Albemarle County","Prince Edward County","81.2","23006","4.45464334362489"
"Albemarle County","Prince George County","103.016666666667","38686","-1.54237542026445"
"Albemarle County","Prince William County","107.983333333333","475533","-4.14806773320353"
"Albemarle County","Pulaski County","145.316666666667","33935","-0.893233159373669"
"Albemarle County","Radford City","137.1","18255","5.04842982513"
"Albemarle County","Rappahannock County","74.8666666666667","7260","-4.57480887413066"
"Albemarle County","Richmond City","69.3833333333333","232226","3.24843831056042"
"Albemarle County","Richmond County","122.683333333333","9071","3.38976815944407"
"Albemarle County","Roanoke City","108.6","99058","3.17957648694699"
"Albemarle County","Roanoke County","120.283333333333","94509","-4.10544281582227"
"Albemarle County","Rockbridge County","65.5166666666667","22757","-2.69398458602809"
"Albemarle County","Rockingham County","68.8333333333333","82346","-4.3217894640547"
"Albemarle County","Russell County","249.55","26647","3.44975909039539"
"Albemarle County","Salem City","108.866666666667","25340","-4.05548210008709"
"Albemarle County","Scott County","282.733333333333","21629","0.684053911030514"
"Albemarle County","Shenandoah County","86.5666666666667","43905","-0.244547486366008"
"Albemarle County","Smyth County","198.15","30090","3.66534582654297"
"Albemarle County","Southampton County","134.116666666667","17636","1.76348310558717"
"Albemarle County","Spotsylvania County","68.95","138449","-2.84214408886632"
"Albemarle County","Stafford County","99.55","156748","-2.91660379632786"
"Albemarle County","Staunton City","39.6833333333333","25190","-1.19697319726966"
"Albemarle County","Suffolk City","157.85","93913","-1.04678772586239"
"Albemarle County","Surry County","124.35","6385","2.59755813516383"
"Albemarle County","Sussex County","111.95","10925","7.10326389814696"
"Albemarle County","Tazewell County","223.133333333333","40529","3.41328914874947"
"Albemarle County","Virginia Beach City","167.533333333333","451231","-3.04596269529195"
"Albemarle County","Warren County","98.4833333333333","40475","-2.47743511759805"
"Albemarle County","Washington County","217.45","53695","-1.14701248153448"
"Albemarle County","Waynesboro City","28.5666666666667","22741","1.37148926193865"
"Albemarle County","Westmoreland County","132.933333333333","18149","3.32146342771788"
"Albemarle County","Williamsburg City","111.666666666667","15259","-2.72020622212177"
